from_node,to_node,distance,travel_time,highway,max_speed_mps,highway_group,peak_cv,offpeak_cv,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23
13,10,17.73932739,1.248609718,primary,16.87712414,group_2,0.6,0.25,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.8162785,1.051087095,1.051087095,2.1795342,0.875905912,1.051087095,1.051087095,2.1795342,2.1795342,1.8162785,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095
13,43,140.1966346,8.558879148,primary,16.87712414,group_2,0.6,0.25,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,14.35432854,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088
14,3782,134.3022256,12.03720632,primary,16.87712414,group_2,0.6,0.25,7.957648735,7.957648735,7.957648735,7.957648735,7.957648735,7.957648735,7.957648735,16.50098042,7.957648735,17.32602944,17.32602944,16.50098042,16.50098042,16.50098042,17.32602944,13.75081701,17.32602944,19.05863238,17.32602944,7.957648735,7.957648735,7.957648735,7.957648735,7.957648735
15,3,22.2425064,2.239968561,secondary,15.28876023,group_2,0.6,0.25,1.454827342,1.454827342,1.454827342,1.454827342,1.454827342,1.454827342,1.454827342,2.513941646,3.016729975,3.016729975,3.016729975,3.016729975,3.016729975,3.016729975,3.016729975,3.016729975,3.167566474,3.318402973,3.167566474,1.454827342,1.454827342,1.454827342,1.454827342,1.454827342
15,16,176.2514067,13.27624816,primary,16.87712414,group_2,0.6,0.25,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,22.73779937,22.73779937,21.65504702,10.44321326,10.44321326,10.44321326,18.04587252,22.73779937,10.44321326,22.73779937,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326
16,2844,168.7794976,14.41982537,primary,16.87712414,group_2,0.6,0.25,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919,21.77386511,21.77386511,20.73701439,20.73701439,10.00048919,10.00048919,21.77386511,21.77386511,21.77386511,23.95125162,21.77386511,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919
17,4019,222.5444849,12.1950229,motorway,28.84098113,group_1,0.5,0.01,7.716259164,7.716259164,7.716259164,7.716259164,7.716259164,7.716259164,7.716259164,16.80045675,16.80045675,16.80045675,16.80045675,16.000435,16.000435,16.000435,16.80045675,16.80045675,16.000435,18.48050243,16.80045675,7.716259164,7.716259164,7.716259164,7.716259164,7.716259164
18,2836,214.1808374,11.64266329,trunk,21.02392057,group_2,0.6,0.25,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,22.18100339,10.18748319,22.18100339,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,21.12476514,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319
19,20,68.56170713,3.726948126,trunk,21.02392057,group_2,0.6,0.25,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,7.100389919,3.261128527,7.100389919,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,6.762276114,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527
20,3895,267.0805951,14.51824298,trunk,21.02392057,group_2,0.6,0.25,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,27.65940996,12.70365316,27.65940996,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,26.3422952,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316
21,4063,86.9021125,4.723914833,trunk,21.02392057,group_2,0.6,0.25,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,8.999759623,4.133487481,8.999759623,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,8.571199641,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481
22,2650,83.56143499,4.542318833,trunk,21.02392057,group_2,0.6,0.25,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,8.653792262,3.974588598,8.653792262,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,8.241706916,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598
23,24,17.44030793,1.093434609,primary,16.87712414,group_2,0.6,0.25,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,2.474928588,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654
23,2571,352.8930319,21.93523069,primary,16.87712414,group_2,0.6,0.25,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,45.52593997,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768
24,13,17.1956148,1.150090427,primary,16.87712414,group_2,0.6,0.25,1.018871145,1.018871145,1.018871145,1.018871145,1.018871145,1.018871145,1.018871145,1.760609338,1.018871145,1.018871145,1.018871145,0.849059287,1.018871145,1.018871145,2.112731206,1.760609338,1.760609338,1.018871145,1.018871145,1.018871145,1.018871145,1.018871145,1.018871145,1.018871145
24,3840,511.7234601,32.08292789,primary,16.87712414,group_2,0.6,0.25,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,72.6179277,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659
25,2525,389.9413971,15.45164585,motorway,28.84098113,group_1,0.5,0.01,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,29.4376811,13.52039292,13.52039292,13.52039292,13.52039292,29.4376811,28.03588676,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292
26,2651,722.559967,27.40289778,motorway,28.84098113,group_1,0.5,0.01,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,54.54791422,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,51.9503945,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809
27,58,140.628584,6.89187905,trunk,21.02392057,group_2,0.6,0.25,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,11.55855742,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991
28,30,21.65750617,1.62502547,secondary,15.28876023,group_2,0.6,0.25,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,3.084256298,3.084256298,3.084256298,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923
28,3049,206.1928693,12.58789024,primary,16.87712414,group_2,0.6,0.25,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,21.1114924,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884
29,2793,114.7885917,10.04275692,primary,16.87712414,group_2,0.6,0.25,6.801430786,6.801430786,6.801430786,6.801430786,6.801430786,6.801430786,6.801430786,11.7528724,14.80861922,14.80861922,6.801430786,14.80861922,14.80861922,14.80861922,14.10344688,14.80861922,14.80861922,16.28948114,6.801430786,6.801430786,6.801430786,6.801430786,6.801430786,6.801430786
30,492,153.7231007,11.17577637,primary,16.87712414,group_2,0.6,0.25,9.108370563,9.108370563,9.108370563,9.108370563,9.108370563,9.108370563,9.108370563,18.8871172,15.73926433,9.108370563,9.108370563,9.108370563,9.108370563,18.8871172,9.108370563,19.83147306,9.108370563,21.81462037,9.108370563,9.108370563,9.108370563,9.108370563,9.108370563,9.108370563
30,1679,121.5339027,9.119041026,secondary,15.28876023,group_2,0.6,0.25,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,17.30770394,17.30770394,17.30770394,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204
31,4061,551.4479183,27.02517687,trunk,21.02392057,group_2,0.6,0.25,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,45.32465767,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726
32,14,188.8053654,16.92220013,primary,16.87712414,group_2,0.6,0.25,11.18705793,11.18705793,11.18705793,11.18705793,11.18705793,11.18705793,11.18705793,23.19748332,11.18705793,24.35735748,24.35735748,23.19748332,23.19748332,23.19748332,24.35735748,19.3312361,24.35735748,26.79309323,24.35735748,11.18705793,11.18705793,11.18705793,11.18705793,11.18705793
33,2578,1059.073725,58.66980708,motorway,28.84098113,group_1,0.5,0.01,36.72114066,36.72114066,36.72114066,36.72114066,36.72114066,36.72114066,36.72114066,79.95220513,79.95220513,79.95220513,79.95220513,79.95220513,79.95220513,79.95220513,79.95220513,79.95220513,79.95220513,87.94742564,79.95220513,36.72114066,36.72114066,36.72114066,36.72114066,36.72114066
34,3388,87.57969207,8.970812431,secondary,15.28876023,group_2,0.6,0.25,5.728371088,5.728371088,5.728371088,5.728371088,5.728371088,5.728371088,5.728371088,9.89862524,12.4722678,11.87835029,11.87835029,12.4722678,12.4722678,11.87835029,12.4722678,12.4722678,12.4722678,13.71949458,12.4722678,5.728371088,5.728371088,5.728371088,5.728371088,5.728371088
34,3390,191.3883146,12.75950752,motorway_link,19.67495814,group_1,0.5,0.01,9.727508098,9.727508098,9.727508098,9.727508098,9.727508098,9.727508098,9.727508098,9.727508098,9.727508098,9.727508098,9.727508098,20.17096079,9.727508098,21.17950883,20.17096079,20.17096079,21.17950883,16.80913399,21.17950883,9.727508098,9.727508098,9.727508098,9.727508098,9.727508098
35,3798,702.9274663,35.94447979,trunk,21.02392057,group_2,0.6,0.25,33.43465192,33.43465192,33.43465192,33.43465192,33.43465192,33.43465192,33.43465192,33.43465192,33.43465192,33.43465192,33.43465192,33.43465192,33.43465192,33.43465192,69.33009422,33.43465192,33.43465192,57.77507852,33.43465192,33.43465192,33.43465192,33.43465192,33.43465192,33.43465192
36,3642,138.7330118,7.741556546,trunk,21.02392057,group_2,0.6,0.25,6.598817349,6.598817349,6.598817349,6.598817349,6.598817349,6.598817349,6.598817349,6.598817349,14.36747304,6.598817349,14.36747304,6.598817349,6.598817349,6.598817349,13.68330766,6.598817349,6.598817349,11.40275638,6.598817349,6.598817349,6.598817349,6.598817349,6.598817349,6.598817349
37,964,20.94585036,1.126683304,trunk_link,21.81013333,group_2,0.6,0.25,0.960372412,0.960372412,0.960372412,0.960372412,0.960372412,0.960372412,0.960372412,0.960372412,2.090999645,0.960372412,2.090999645,0.960372412,0.960372412,0.960372412,1.991428234,0.960372412,0.960372412,1.659523528,0.960372412,0.960372412,0.960372412,0.960372412,0.960372412,0.960372412
38,355,74.4122279,3.805099317,trunk,21.02392057,group_2,0.6,0.25,3.539407773,3.539407773,3.539407773,3.539407773,3.539407773,3.539407773,3.539407773,3.539407773,3.539407773,3.539407773,3.539407773,3.539407773,3.539407773,3.539407773,7.339315959,3.539407773,3.539407773,6.116096633,3.539407773,3.539407773,3.539407773,3.539407773,3.539407773,3.539407773
39,71,471.6481435,38.09323778,motorway_link,19.67495814,group_1,0.5,0.01,23.97200239,23.97200239,23.97200239,23.97200239,23.97200239,23.97200239,23.97200239,52.19376135,52.19376135,52.19376135,49.70834415,52.19376135,52.19376135,49.70834415,52.19376135,52.19376135,52.19376135,57.41313749,52.19376135,23.97200239,23.97200239,23.97200239,23.97200239,23.97200239
39,3931,655.7895104,36.03427129,motorway,28.84098113,group_1,0.5,0.01,22.73811378,22.73811378,22.73811378,22.73811378,22.73811378,22.73811378,22.73811378,49.50724037,49.50724037,49.50724037,49.50724037,47.14975273,49.50724037,47.14975273,49.50724037,49.50724037,49.50724037,54.4579644,47.14975273,22.73811378,22.73811378,22.73811378,22.73811378,22.73811378
40,2565,17.23540524,1.80360013,secondary,15.28876023,group_2,0.6,0.25,1.127325236,1.127325236,1.127325236,1.127325236,1.127325236,1.127325236,1.127325236,2.33762161,2.33762161,2.33762161,2.33762161,2.33762161,2.33762161,2.454502691,2.33762161,2.33762161,2.454502691,2.571383771,2.454502691,2.2499608,1.127325236,1.127325236,1.127325236,1.127325236
40,3303,173.5536589,15.55522399,primary,16.87712414,group_2,0.6,0.25,10.28336685,10.28336685,10.28336685,10.28336685,10.28336685,10.28336685,10.28336685,21.3235895,10.28336685,22.38976898,22.38976898,21.3235895,21.3235895,21.3235895,22.38976898,17.76965792,22.38976898,24.62874587,22.38976898,10.28336685,10.28336685,10.28336685,10.28336685,10.28336685
41,40,94.14958868,9.852289983,secondary,15.28876023,group_2,0.6,0.25,6.158091779,6.158091779,6.158091779,6.158091779,6.158091779,6.158091779,6.158091779,12.76941911,12.76941911,12.76941911,12.76941911,12.76941911,12.76941911,13.40789007,12.76941911,12.76941911,13.40789007,14.04636102,13.40789007,12.2905659,6.158091779,6.158091779,6.158091779,6.158091779
