from_node,to_node,distance,travel_time,shape,loc,scale,avg_travel_time_from_day_profile
0,3057,811.8680089,53.22526522652826,0.310792965535836,0,50.52811748383514,43.50248420195968
1,2596,302.3705313,30.05999369436544,0.3102500735461103,0,28.54162692492856,24.348294754582213
1,3336,752.9087789,46.089730703227126,0.3592558975278045,0,43.03668409681442,38.320952576166654
2,3463,121.237271,13.566262174731962,0.2992220800026691,0,12.925171580152364,11.091365146551652
3,1348,14.36982408,1.6079609777558364,0.2992220800026691,0,1.5319747815572768,1.3146202038549784
4,2573,59.00546859,3.621118607458659,0.3318378264255869,0,3.414030956048603,3.011260606244607
5,4,842.8680448,47.46455244982469,0.3570991189938278,0,44.35531542773999,40.429403142271205
6,2520,902.8083695,38.32992890199958,0.3048987494779339,0,36.45488922292344,35.77428632916591
7,2527,612.3060364,24.342144706551608,0.2563571901775864,0,23.474758244692985,23.2215462958621
8,2667,609.2651384,31.37242533586173,0.2056904824856334,0,30.61731716152921,30.52635437225109
9,3375,207.1395888,10.947404395872102,0.2646818911873232,0,10.534023900347748,10.429159688834742
10,3123,287.8996015,22.197186180393764,0.3252394909149474,0,20.97400486258133,20.26425423655237
11,1450,195.2615128,19.0635332943993,0.2461153435952446,0,18.43247593015194,18.043286218468754
12,2539,94.09401367,5.853847557732367,0.1364369599492449,0,5.782289059205681,5.7443553731240184
13,10,17.73932739,1.3677099607902512,0.3252394909149474,0,1.2923419723151042,1.2486097175595745
13,43,140.1966346,8.722018493316371,0.1364369599492449,0,8.615398950981469,8.558879147850122
14,3782,134.3022256,14.633237798331743,0.3369692240032984,0,13.772292421127297,12.037206324890667
15,3,22.2425064,2.737031358340388,0.2973910974742981,0,2.609140368835796,2.239968561251465
15,16,176.2514067,15.001800868459032,0.3622778288959035,0,13.992517881035962,13.276248155797012
16,2844,168.7794976,17.22828628864171,0.3822636003794818,0,15.947921427655396,14.419825374040547
17,4019,222.5444849,15.041755709673613,0.3098205552353304,0,14.2839152566295,12.195022903078609
18,2836,214.1808374,12.47439157456947,0.3048987494779339,0,11.86416400972182,11.642663285699525
19,20,68.56170713,3.993193752829271,0.3048987494779338,0,3.7978530113440128,3.7269481257529478
20,3895,267.0805951,15.55539685898178,0.3048987494779337,0,14.79445137408563,14.518242979782627
21,4063,86.9021125,5.061381743005523,0.3048987494779337,0,4.813786929476095,4.723914833195708
22,2650,83.56143499,4.866812892441597,0.3048987494779339,0,4.628736080264384,4.542318833145534
23,24,17.44030793,1.1252879689512465,0.2178608876967316,0,1.0953245832290044,1.093434609307196
23,2571,352.8930319,22.5126895399151,0.1940863518100912,0,22.02278591444137,21.93523068947989
24,13,17.1956148,1.228986008462804,0.2761033094657299,0,1.178865504387279,1.150090427415252
24,3840,511.7234601,33.01755080086895,0.2178608876967314,0,32.13838241237887,32.08292788722846
25,2525,389.9413971,16.555480135449606,0.3048987494779338,0,15.745612153708963,15.451645845643517
26,2651,722.559967,28.725274991642728,0.2563571901775862,0,27.70170394064117,27.4028977775433
27,58,140.628584,7.023243989509158,0.136436959949245,0,6.937390576054275,6.891879050490025
28,30,21.65750617,1.7436685709847373,0.3112305565381001,0,1.6550801638346853,1.625025469993659
28,3049,206.1928693,12.827825885066217,0.136436959949245,0,12.671016205510316,12.587890241700146
29,2793,114.7885917,12.106486740810237,0.3637640384897497,0,11.285790767636229,10.042756915386237
30,492,153.7231007,12.406952625122033,0.3501920886069383,0,11.623092345253957,11.175776369389666
