node_index,is_stop_only,pos_x,pos_y
0.0,False,583257.5604127554,4133946.334019706
1.0,False,584096.1579041111,4131421.080701807
2.0,False,586986.048034327,4134807.718289022
3.0,False,587317.2104836184,4134507.6486810017
4.0,False,582428.799872104,4138310.867074372
5.0,False,582433.3834286127,4139149.689984003
6.0,False,587202.3567387719,4139282.0940936506
7.0,False,583500.133276104,4140283.817267477
8.0,False,586569.1633892978,4137709.51689433
9.0,False,587160.1897421931,4137372.5617562416
10.0,False,585280.4301401289,4136259.9691468207
11.0,False,585521.0010357389,4137184.294689565
12.0,False,583219.7329834782,4136915.635058777
13.0,False,585276.6836262265,4136242.6661823513
14.0,False,586974.6045607598,4134796.6367734396
15.0,False,587318.5135882884,4134485.4932087385
16.0,False,587481.2960370348,4134418.8897107267
17.0,False,582554.5722833793,4137222.1744052717
18.0,False,585765.866544879,4137931.432336883
19.0,False,584597.7980089915,4138234.9356396943
20.0,False,584529.3695699049,4138230.5036285487
21.0,False,582997.8197897719,4138490.4470001445
22.0,False,582548.6384682879,4138707.739423344
23.0,False,585263.9589842311,4136264.272619997
24.0,False,585260.0939316293,4136247.301322113
25.0,False,589186.7850565093,4138642.323254166
26.0,False,585043.6792248149,4139850.970657551
27.0,False,585460.169683839,4138000.4763007723
28.0,False,594025.9866915033,4134571.3012007163
29.0,False,592825.4632950643,4134513.0507582794
30.0,False,594005.0209971985,4134565.7172730607
31.0,False,582408.386540662,4138754.7307614046
32.0,False,586842.0763627959,4134931.069782397
33.0,False,586053.2203853871,4132399.137077756
34.0,False,587327.5085404941,4131774.1858297614
35.0,False,592869.4195100087,4136926.646668363
36.0,False,587747.5271974728,4137167.225650365
37.0,False,587407.9177841553,4137328.1817531553
38.0,False,590184.2315735534,4137275.579433832
39.0,False,583750.5150644993,4132211.2846272327
40.0,False,585707.4614101303,4136079.284842115
41.0,False,585682.1101109764,4135989.1394646205
42.0,False,590577.1594941737,4137011.267001994
43.0,False,585413.8297051446,4136212.5218515513
44.0,False,582613.4705555751,4137193.7307101716
45.0,False,582893.6897078957,4132326.2793795345
46.0,False,582167.0126145796,4132285.982021381
47.0,False,579262.8419756814,4134163.427085884
48.0,False,582453.1696758531,4131695.524744657
49.0,False,582488.8258535917,4132233.8039588863
50.0,False,582501.9878336557,4132300.6837527216
51.0,False,581671.2923017836,4133607.4295826894
52.0,False,582162.4013421418,4133143.5347502935
53.0,False,582478.6814001522,4132829.739067184
54.0,False,582558.058250106,4132566.7946212697
55.0,False,582555.7762497191,4132508.942741429
56.0,False,583302.7547616791,4132690.0781122046
57.0,False,585972.2233359443,4137860.1670234287
58.0,False,585594.6719491384,4137958.6359830955
59.0,False,585386.6210593556,4139783.148449188
60.0,False,582637.8456954233,4138017.3701202176
61.0,False,588906.5685836385,4134128.7667585867
62.0,False,588930.6296285042,4133889.4222868676
63.0,False,588913.6477026793,4131171.182005041
64.0,False,589261.7430391378,4131179.43546267
65.0,False,588931.4045990051,4134447.1664959774
66.0,False,588933.8901083441,4134418.3441205528
67.0,False,588950.0544819338,4133882.061578446
68.0,False,587183.844653323,4137386.567207535
69.0,False,581656.441265242,4135776.5859038094
70.0,False,595312.1580475222,4133641.3526489963
71.0,False,583601.1429030244,4132211.621885426
72.0,False,588869.4135373479,4136105.726268631
73.0,False,588884.4193303796,4136915.5189967304
74.0,False,587386.2234667648,4137255.4223213247
75.0,False,587775.2590504815,4137133.6417664727
76.0,False,581653.5681661135,4136491.2717258036
77.0,False,581642.3033380785,4136701.6537370766
78.0,False,582780.1437981697,4138077.9737621816
79.0,False,582671.3663806276,4138011.943234421
80.0,False,582509.7178361411,4137240.737938981
81.0,False,587325.2357011735,4132050.6198459025
82.0,False,587316.3030183837,4131954.8049791083
83.0,False,587304.1303994517,4134397.099467929
84.0,False,585692.62154591,4135649.6886565867
85.0,False,588891.5342272002,4135945.151210285
86.0,False,591543.9426941624,4135780.7119787764
87.0,False,591487.6754350326,4135698.386377512
88.0,False,590983.8002728428,4138023.7963065887
89.0,False,590499.0001101597,4137073.8104341747
90.0,False,590500.7586834283,4136868.9233508697
91.0,False,587601.5486907882,4139177.079672197
92.0,False,582312.0836691146,4139917.6694360706
93.0,False,591413.1730158319,4135598.0862867115
94.0,False,591336.2644413097,4134470.8334666267
95.0,False,591336.7048723953,4134454.8381496635
96.0,False,591226.4382806079,4133238.5253105224
97.0,False,591432.3622870669,4132602.6558050993
98.0,False,591577.5437913832,4131688.832279923
99.0,False,591622.7845131253,4131646.142701461
100.0,False,591791.7389516374,4131227.875233694
101.0,False,583275.1323644357,4133947.463162491
102.0,False,583068.7546518118,4134720.063839619
103.0,False,583528.1061722968,4132133.9789032903
104.0,False,583681.3875212953,4132140.669531153
105.0,False,585639.7337335408,4135726.416386528
106.0,False,585684.0567737785,4135783.680037108
107.0,False,585651.7989764597,4135735.627293333
108.0,False,590020.2061325647,4138333.814099003
109.0,False,590091.6683081959,4138332.5984697873
110.0,False,584566.2901350282,4132190.295930769
111.0,False,584564.9416076262,4132287.8006014265
112.0,False,592256.8397524024,4133801.186335773
113.0,False,593856.0070589717,4132866.5409266823
114.0,False,592996.176665388,4132532.2986739213
115.0,False,593005.1764117943,4131722.404259464
116.0,False,592800.935750788,4131703.981885691
117.0,False,592459.612747106,4131660.337493397
118.0,False,592361.5534721003,4131658.4116331125
119.0,False,592256.2498896603,4131658.5485600694
120.0,False,592149.2448468528,4131657.902471506
121.0,False,593360.370432311,4131665.198306312
122.0,False,593112.4683389614,4131662.9695911217
123.0,False,593008.0895869432,4131658.791081951
124.0,False,586537.9847258753,4131547.2701471336
125.0,False,586458.1208351755,4131546.644599909
126.0,False,586227.2692181806,4131543.586570093
127.0,False,586148.1004094876,4131542.5827973653
128.0,False,588024.5137444495,4131002.9303008104
129.0,False,587930.8511269754,4131002.7671403997
130.0,False,583340.5296378807,4132506.9798014676
131.0,False,585639.6122514332,4139674.1508069853
132.0,False,583441.8511387641,4132690.532016404
133.0,False,579107.6016810626,4134436.0454037865
134.0,False,585707.717621154,4132478.541609805
135.0,False,585897.9612940754,4137634.0506533254
136.0,False,582495.2912892131,4138654.785888935
137.0,False,585328.205625494,4132542.734264098
138.0,False,587732.9431607982,4139120.3286650702
139.0,False,595705.6717920783,4134241.8981354763
140.0,False,589051.3632983337,4130382.636479924
141.0,False,585674.8350345803,4137159.1191316885
142.0,False,585651.02725883,4137073.3500195974
143.0,False,588824.2921754067,4134416.757703074
144.0,False,587367.0237438673,4137261.6126490026
145.0,False,583901.3030990588,4131983.995343811
146.0,False,590895.2205740704,4130641.8153887913
147.0,False,579008.0076142374,4134374.3791105854
148.0,False,595139.1197096674,4133441.0098900166
149.0,False,594120.9799979425,4135068.456672398
150.0,False,594038.8212835804,4135120.293265947
151.0,False,593823.7654564612,4135050.236652609
152.0,False,593740.107212806,4134976.853229447
153.0,False,594238.2545910451,4132530.7155621103
154.0,False,594187.2296985611,4132631.490770002
155.0,False,594352.3567866855,4132643.5814442956
156.0,False,594243.7660313315,4132468.518702092
157.0,False,582286.2506633288,4139931.528289883
158.0,False,582215.8785451083,4139926.2857422996
159.0,False,587389.3792994521,4139209.8412442175
160.0,False,583445.4711598909,4132730.8557380275
161.0,False,582862.5131434164,4140430.7150973203
162.0,False,590799.8853345114,4130499.577145676
163.0,False,583551.9035379541,4140248.563121457
164.0,False,583040.5085878301,4134341.016930604
165.0,False,582253.475286356,4139881.88558875
166.0,False,593670.5280024416,4134886.329912059
167.0,False,593549.8126086124,4134673.080428173
168.0,False,591706.9633828556,4137694.734200564
169.0,False,595300.5765014176,4133654.058691831
170.0,False,595052.8822131864,4133461.577867686
171.0,False,582856.6650026432,4130037.9051442486
172.0,False,584229.7798550625,4131122.336197605
173.0,False,588713.4955179191,4131185.8130510617
174.0,False,595994.4336128382,4133967.8526379126
175.0,False,588716.1947209755,4129913.9397153584
176.0,False,588747.9924709342,4129954.17641405
177.0,False,591290.3024596132,4134381.4654567954
178.0,False,583154.9725743751,4134339.524649564
179.0,False,585415.2539876444,4131683.885753703
180.0,False,588912.6447912218,4131190.522145784
181.0,False,592552.9698808766,4130512.5345611037
182.0,False,593032.9299603319,4130588.3337355256
183.0,False,587310.4886151545,4131851.3778091287
184.0,False,585619.6728837666,4129181.919313251
185.0,False,591751.0016840585,4137811.1473181867
186.0,False,592908.5041175993,4130451.2729966934
187.0,False,593722.253111324,4133936.4805863276
188.0,False,593905.2372414673,4133897.5225572106
189.0,False,586515.73382897,4132186.0334032727
190.0,False,585092.0015239739,4127918.429804528
191.0,False,593422.5861808915,4130559.4734446695
192.0,False,585218.4276816661,4128748.1007384537
193.0,False,588880.9521945298,4136741.1348403273
194.0,False,582493.6753500154,4140155.9636960146
195.0,False,591641.449910331,4137503.399582899
196.0,False,583344.8633606939,4129307.612212395
197.0,False,588982.4059289692,4130889.8170490074
198.0,False,588963.3403112005,4130901.9195022117
199.0,False,588607.6160723381,4131102.6728731073
200.0,False,588544.4852012916,4138851.3344081426
201.0,False,594177.4532490706,4132675.142846642
202.0,False,594163.3764027753,4132457.705130787
203.0,False,582575.3460477619,4140334.1559628462
204.0,False,586929.8585499902,4137416.5863363408
205.0,False,587037.826361877,4139303.9002886936
206.0,False,583865.5402071804,4132677.4477631585
207.0,False,583792.4579120458,4132508.574817721
208.0,False,595601.366948445,4134337.9057796644
209.0,False,585141.6017850856,4129974.600178325
210.0,False,585198.0044444539,4129976.9268535976
211.0,False,585284.4712281879,4129960.6644020122
212.0,False,585320.9725765431,4129960.0486839837
213.0,False,585513.5864194559,4129962.667796366
214.0,False,585760.5272057292,4129956.560542291
215.0,False,588957.6533600448,4129699.5705228737
216.0,False,588838.2279979829,4129704.560902371
217.0,False,588780.6735930245,4129712.061533364
218.0,False,588667.8327982643,4129725.501311035
219.0,False,588348.314106996,4129760.8152080267
220.0,False,588259.4258005401,4129770.5076335254
221.0,False,588180.3649682489,4129779.4944794113
222.0,False,588096.9027725135,4129788.1805718015
223.0,False,587926.4244209881,4129806.461049633
224.0,False,587885.9018043843,4129803.3506087065
225.0,False,587679.5957678881,4129785.809876327
226.0,False,587415.3935889364,4129761.0901245894
227.0,False,587225.2634977875,4129743.2412747038
228.0,False,587037.4157752709,4129727.4398683663
229.0,False,586737.9571113499,4129660.5784274507
230.0,False,586557.6260420219,4129696.759460763
231.0,False,586265.1908184139,4129796.875247519
232.0,False,586248.7166380967,4129802.774830027
233.0,False,586162.7831358971,4129833.157495472
234.0,False,586114.3916017171,4129852.3432348296
235.0,False,586066.4508440662,4129869.081773057
236.0,False,585889.3339762536,4129931.37336019
237.0,False,586456.1516189277,4131879.6906138784
238.0,False,586374.7618321518,4131879.560406483
