from_node,to_node,distance,travel_time,highway,highway_group
83,15,91.59614087,12.426729899999998,secondary,group_3
83,3916,207.0609634,26.27625738,secondary,group_3
84,107,95.66282859,8.502292314,primary,group_2
84,106,135.266589,19.360835039999998,secondary,group_3
85,3610,559.8246432,56.830286625,trunk,group_2
86,2576,131.6639121,9.5669027295,trunk_link,group_2
86,87,99.79758839,7.5226224120000005,trunk,group_2
87,2835,17.03029586,1.5095873355,trunk,group_2
87,2576,54.47888766,6.9134290215,secondary,group_3
88,2523,536.0006204,32.90686926,motorway,group_1
89,3086,144.1269493,10.8641164215,trunk,group_2
90,1784,259.841945,25.493428620000003,secondary,group_3
91,6,412.0520593,25.29725289,motorway,group_1
92,5,782.0228614,49.791338355,motorway,group_1
93,2820,414.2165693,40.217783535,trunk,group_2
94,95,16.03652362,1.6216952414999999,trunk,group_2
94,2810,170.9162125,20.036806065,primary,group_2
95,2807,19.88802033,2.3829501420000003,primary,group_2
95,2946,666.7955995,67.68938364,trunk,group_2
96,3277,119.7691339,11.7649629015,trunk_link,group_2
96,3296,84.63577294,7.8434327565,trunk,group_2
97,3132,69.25028662,6.444578178,trunk,group_2
98,643,22.9694041,2.8935034515,primary,group_2
98,99,62.20229161,5.133763923,trunk,group_2
99,3285,353.9047267,30.635711280000002,trunk,group_2
100,2909,17.05127189,1.285304406,trunk,group_2
100,3176,29.2251578,3.2412424095,primary,group_2
101,2680,396.3703278,35.684591685,motorway_link,group_1
101,102,806.6190184,59.689778700000005,motorway,group_1
102,3332,2272.145172,168.13866195,motorway,group_1
103,104,474.4826869,36.174106455,motorway_link,group_1
103,3267,693.8621749,51.739621740000004,motorway,group_1
104,3270,466.3087123,31.766051429999997,motorway,group_1
105,2837,600.2206776,75.902145045,primary,group_2
106,107,61.82728964,8.630768748,secondary,group_3
106,41,205.9274822,29.474595630000003,secondary,group_3
107,105,15.17145734,2.1178567050000003,secondary,group_3
107,13,688.7951213,61.218527115,primary,group_2
108,2856,775.5403958,42.61449219,motorway,group_1
109,25,954.9376735,58.62681492,motorway,group_1
