operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,first_attempt_time,no_show_wait_delay,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,13,default_vehtype,route,False,22480,22536.884841516014,22480,0,38348;-1;-1,2388;-1;-1,512.9390000000001,0.5301127358146349,0.530061441914635,0.0,,0,,0,,,38348;40972;1562;3351;2388,38348:22480;40972:22493.840535118135;1562:22508.19809308401;3351:22522.544610170207;2388:22536.884841516014
0,13,default_vehtype,boarding,True,22536.884841516014,22566.884841516014,22536.884841516014,0.0,2388;-1;-1,2388;-1;-1,0.0,0.530061441914635,0.530061441914635,0,,0,10,1,10,,,
0,2,default_vehtype,route,False,22030,22574.611449147378,22030,0,17150;-1;-1,21405;-1;-1,4731.5419999999995,0.6818553854713113,0.6813822312713111,0.0,,0,,0,,,17150;30504;17149;17148;17147;17146;17145;30507;30499;30498;28633;28634;30503;28635;28637;28639;28641;28643;28644;28646;28647;28650;29858;28651;28652;28655;29762;28657;14898;21405,17150:22030;30504:22032.390402957353;17149:22044.705363676603;17148:22060.13894960854;17147:22091.64175888701;17146:22094.321547330404;17145:22112.160871925567;30507:22126.119977274717;30499:22132.328854630454;30498:22140.80750207869;28633:22147.5974442534;28634:22168.931112761322;30503:22187.725714593802;28635:22196.319424998597;28637:22224.959404712547;28639:22268.216845777486;28641:22270.59135319266;28643:22301.857693235997;28644:22320.630228923557;28646:22338.309325563827;28647:22363.836460037153;28650:22435.489773021767;29858:22438.053417610663;28651:22469.944801629408;28652:22509.974277645088;28655:22518.121714301018;29762:22529.759623582497;28657:22533.87948773968;14898:22539.931291033274;21405:22574.611449147378
0,2,default_vehtype,boarding,True,22574.611449147378,22604.611449147378,22574.611449147378,0.0,21405;-1;-1,21405;-1;-1,0.0,0.6813822312713111,0.6813822312713111,0,,0,7,1,7,,,
0,13,default_vehtype,route,False,22566.884841516014,22728.60743407257,22566.884841516014,0.0,2388;-1;-1,3159;-1;-1,1263.0529999999999,0.530061441914635,0.5299351366146351,0.0,,0,10,1,,,2388;1774;2387;2386;1145;674;1146;1147;2286;3095;3159,2388:22566.884841516014;1774:22578.93875530272;2387:22597.685237401343;2386:22612.349536206046;1145:22622.358824332892;674:22634.394984489056;1146:22649.3859802066;1147:22663.305305513783;2286:22687.711573078486;3095:22709.86425494668;3159:22728.60743407257
0,13,default_vehtype,boarding,True,22728.60743407257,22758.60743407257,22728.60743407257,0.0,3159;-1;-1,3159;-1;-1,0.0,0.5299351366146351,0.5299351366146351,0,,0,10,1,,10,,
0,23,default_vehtype,route,False,22390,23007.877082693278,22390,0,34347;-1;-1,3206;-1;-1,4294.387,0.8084669984373785,0.8080375597373783,0.0,,0,,0,,,34347;1051;2023;882;2022;7482;2021;2020;3468;2811;1352;1351;1350;372;385;426;1151;7910;7159;1810;1809;7813;7807;2460;3394;2302;3393;3354;3353;2587;1001;2664;2665;1160;1161;2141;3207;3206,34347:22390;1051:22419.90780570377;2023:22439.3159856079;882:22459.92867295848;2022:22475.545869706013;7482:22495.91916744272;2021:22496.939572785748;2020:22516.685128998357;3468:22530.623881514577;2811:22542.51852645149;1352:22558.92411777691;1351:22570.908883077846;1350:22588.36070545354;372:22600.570399832017;385:22614.240280038586;426:22630.134463467843;1151:22646.850208392796;7910:22659.13594410111;7159:22666.509785923583;1810:22678.086006014233;1809:22702.210825409617;7813:22705.58794352268;7807:22720.625443603505;2460:22734.378515279597;3394:22760.180910193525;2302:22768.623944298462;3393:22782.30957341525;3354:22792.464216882097;3353:22795.26030910994;2587:22811.49750627085;1001:22821.146579592118;2664:22866.197233892814;2665:22871.125859068194;1160:22916.244574329685;1161:22935.972695635435;2141:22948.47568051794;3207:22977.42998729759;3206:23007.877082693278
0,23,default_vehtype,boarding,True,23007.877082693278,23037.877082693278,23007.877082693278,0.0,3206;-1;-1,3206;-1;-1,0.0,0.8080375597373783,0.8080375597373783,0,,0,9,1,9,,,
0,17,default_vehtype,route,False,22080,23137.331756135303,22080,0,41028;-1;-1,33690;-1;-1,11359.934000000003,0.9350060741234096,0.9338700807234108,0.0,,0,,0,,,41028;41029;43214;52637;43212;43211;50524;52340;52435;52345;52346;53144;53141;53143;43204;43203;43202;43201;48784;48785;49513;49512;31628;31627;48406;31691;31532;31882;31883;48305;48304;31490;50613;42834;50617;50527;38820;53090;53089;32038;35183;38761;52792;33690,41028:22080;41029:22127.125673657825;43214:22138.11665948752;52637:22144.516873544464;43212:22151.213914906966;43211:22163.857279343036;50524:22167.875700722703;52340:22174.209048855;52435:22195.800846465223;52345:22207.183044005236;52346:22224.134280639453;53144:22250.62436134759;53141:22281.543684597287;53143:22300.777613153954;43204:22324.032907557925;43203:22338.564657877938;43202:22344.88533018058;43201:22347.229815053404;48784:22365.12848794101;48785:22412.61909719612;49513:22439.56189162557;49512:22468.064172538485;31628:22480.286066414355;31627:22504.773181567634;48406:22518.413724811988;31691:22589.930998576245;31532:22618.58568892231;31882:22779.68428029157;31883:22821.252561476434;48305:22831.047301546463;48304:22845.34228430205;31490:22862.001518771984;50613:22874.944235364805;42834:22888.436493950376;50617:22912.697581089862;50527:22917.489891245285;38820:22984.89881767523;53090:22994.322817909888;53089:23010.117136708213;32038:23063.08064878545;35183:23080.947128602875;38761:23109.99834612642;52792:23111.524094009706;33690:23137.331756135303
0,2,default_vehtype,route,False,22604.611449147378,23168.500518826408,22604.611449147378,0.0,21405;-1;-1,28938;-1;-1,4931.783000000001,0.6813822312713111,0.680889052971311,0.0,,0,7,1,,,21405;14898;28657;28659;20623;28658;28656;28654;28653;20622;29857;29834;29856;29855;29836;29854;29853;29852;29973;29851;29839;29850;29849;30516;29848;29847;29841;29846;29845;28938,21405:22604.611449147378;14898:22658.7954838851;28657:22665.180479465227;28659:22727.61094621068;20623:22728.91007785147;28658:22761.14888428629;28656:22792.247540834436;28654:22810.449715869767;28653:22820.037548825305;20622:22858.5996166152;29857:22900.217320161002;29834:22914.06225350757;29856:22921.913419450713;29855:22937.59148015515;29836:22950.665568219312;29854:22952.595998444205;29853:22985.030497088475;29852:22993.37735767435;29973:23006.821556713756;29851:23017.923314266493;29839:23045.393939477995;29850:23076.71698556274;29849:23078.965004313624;30516:23095.761640841418;29848:23096.91805942963;29847:23107.24543199536;29841:23116.192616492368;29846:23120.743400703566;29845:23140.20531780359;28938:23168.500518826408
