,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,0.9794272080064518,613.0,70000.0
1,0,1,0.9905599914635219,2009.0,47600.0
2,0,2,0.9866049422682868,301.0,70000.0
3,0,3,0.9821676439118991,452.0,70000.0
4,0,4,0.9816720971391202,1587.0,70239.80647147681
5,0,5,0.9866544628636407,2893.0,70000.0
6,0,6,0.6798729642661959,2355.0,70000.0
7,0,7,0.5291303865658566,2867.0,70000.0
8,0,8,0.8295350464180188,1955.0,70000.0
9,0,9,0.7799581330156187,544.0,70000.0
10,0,10,0.6548866999124081,1156.0,70085.32846445913
11,0,11,0.7029104435445306,2451.0,70000.0
