from_node,to_node,distance,travel_time,highway,max_speed_mps,highway_group,peak_cv,offpeak_cv,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,from_lat,from_lon,from_h3_id,to_lat,to_lon,to_h3_id,mid_lat,mid_lon,mid_h3_id,same_origin_dest_hex
9,3375,207.1395888,10.42915969,trunk_link,21.81013333,group_2,0.6,0.25,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,19.69381135,9.497401305,9.497401305,21.66319248,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,37.3790047,-122.0155135,87283470effffff,37.3780877,-122.0134731,87283470effffff,37.3785462,-122.0144933,87283470effffff,True
10,3123,287.8996015,20.26425424,primary,16.87712414,group_2,0.6,0.25,17.05856988,17.05856988,17.05856988,17.05856988,17.05856988,17.05856988,17.05856988,29.47720875,17.05856988,17.05856988,35.3726505,14.2154749,17.05856988,17.05856988,35.3726505,35.3726505,29.47720875,17.05856988,17.05856988,17.05856988,17.05856988,17.05856988,17.05856988,17.05856988,37.3691522,-122.0368711,87283470cffffff,37.3716558,-122.0360412,87283470cffffff,37.370404,-122.03645614999999,87283470cffffff,True
11,1450,195.2615128,18.04328622,primary_link,11.96245926,group_2,0.6,0.25,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708,28.20589704,16.32285708,16.32285708,33.84707645,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708,28.20589704,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708,37.3774606,-122.0340477,872834708ffffff,37.3790685,-122.033176,872834708ffffff,37.37826455,-122.03361185,872834708ffffff,True
12,2539,94.09401367,5.744355373,primary,16.87712414,group_2,0.6,0.25,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,9.634014317,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,37.3752487,-122.0600673,87283470dffffff,37.3748607,-122.0591211,87283470dffffff,37.3750547,-122.05959419999999,87283470dffffff,True
13,10,17.73932739,1.248609718,primary,16.87712414,group_2,0.6,0.25,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.8162785,1.051087095,1.051087095,2.1795342,0.875905912,1.051087095,1.051087095,2.1795342,2.1795342,1.8162785,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,37.3689966,-122.0369154,87283470cffffff,37.3691522,-122.0368711,87283470cffffff,37.3690744,-122.03689324999999,87283470cffffff,True
13,43,140.1966346,8.558879148,primary,16.87712414,group_2,0.6,0.25,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,14.35432854,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,37.3689966,-122.0369154,87283470cffffff,37.3687123,-122.0353702,87283470cffffff,37.36885445,-122.0361428,87283470cffffff,True
14,3782,134.3022256,12.03720632,primary,16.87712414,group_2,0.6,0.25,7.957648735,7.957648735,7.957648735,7.957648735,7.957648735,7.957648735,7.957648735,16.50098042,7.957648735,17.32602944,17.32602944,16.50098042,16.50098042,16.50098042,17.32602944,13.75081701,17.32602944,19.05863238,17.32602944,7.957648735,7.957648735,7.957648735,7.957648735,7.957648735,37.3558065,-122.0179121,87283470cffffff,37.3549353,-122.0168597,872834701ffffff,37.3553709,-122.0173859,87283470cffffff,False
15,3,22.2425064,2.239968561,secondary,15.28876023,group_2,0.6,0.25,1.454827342,1.454827342,1.454827342,1.454827342,1.454827342,1.454827342,1.454827342,2.513941646,3.016729975,3.016729975,3.016729975,3.016729975,3.016729975,3.016729975,3.016729975,3.016729975,3.167566474,3.318402973,3.167566474,1.454827342,1.454827342,1.454827342,1.454827342,1.454827342,37.35297,-122.014066,872834701ffffff,37.3531698,-122.0140781,872834701ffffff,37.3530699,-122.01407205000001,872834701ffffff,True
15,16,176.2514067,13.27624816,primary,16.87712414,group_2,0.6,0.25,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,22.73779937,22.73779937,21.65504702,10.44321326,10.44321326,10.44321326,18.04587252,22.73779937,10.44321326,22.73779937,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,37.35297,-122.014066,872834701ffffff,37.3523544,-122.0122361,872834701ffffff,37.3526622,-122.01315105,872834701ffffff,True
16,2844,168.7794976,14.41982537,primary,16.87712414,group_2,0.6,0.25,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919,21.77386511,21.77386511,20.73701439,20.73701439,10.00048919,10.00048919,21.77386511,21.77386511,21.77386511,23.95125162,21.77386511,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919,37.3523544,-122.0122361,872834701ffffff,37.3521258,-122.010351,872834701ffffff,37.3522401,-122.01129355,872834701ffffff,True
