node_index,is_stop_only,pos_x,pos_y,osmid,lat,lon,h3_id
78,False,582780.1438,4138077.974,33343482,37.3857638,-122.0649016,872834772ffffff
79,False,582671.3664,4138011.943,33343494,37.3851784,-122.0661376,872834772ffffff
80,False,582509.7178,4137240.738,33438029,37.3782422,-122.0680494,872834772ffffff
81,False,587325.2357,4132050.62,33440837,37.3310249,-122.014277,872834705ffffff
82,False,587316.303,4131954.805,33440879,37.3301622,-122.0143891,872834705ffffff
83,False,587304.1304,4134397.099,33619011,37.3521747,-122.0142388,872834701ffffff
84,False,585692.6215,4135649.689,33619222,37.363614,-122.0322872,87283470cffffff
85,False,588891.5342,4135945.151,33619908,37.3659758,-121.9961319,872834701ffffff
86,False,591543.9427,4135780.712,33717345,37.3642358,-121.9662025,872834703ffffff
87,False,591487.6754,4135698.386,33717352,37.3634994,-121.966848,872834703ffffff
88,False,590983.8003,4138023.796,33784157,37.3845065,-121.9722514,87283471dffffff
89,False,590499.0001,4137073.81,33784162,37.3759923,-121.9778431,872834703ffffff
90,False,590500.7587,4136868.923,33784164,37.3741456,-121.9778483,872834703ffffff
91,False,587601.5487,4139177.08,33784671,37.3952263,-122.0103152,87283470affffff
92,False,582312.0837,4139917.669,34153357,37.402386,-122.0699834,872834754ffffff
93,False,591413.173,4135598.086,35854875,37.3626028,-121.9677016,872834703ffffff
94,False,591336.2644,4134470.833,35854895,37.3524511,-121.968709,872834700ffffff
95,False,591336.7049,4134454.838,35854898,37.3523069,-121.968706,872834700ffffff
96,False,591226.4383,4133238.525,35854937,37.3413558,-121.9701006,872834700ffffff
97,False,591432.3623,4132602.656,35854950,37.3356048,-121.9678546,872834700ffffff
98,False,591577.5438,4131688.832,35854980,37.3273547,-121.9663288,872834704ffffff
99,False,591622.7845,4131646.143,35854982,37.3269655,-121.9658235,872834704ffffff
100,False,591791.739,4131227.875,35854997,37.3231792,-121.9639685,872834704ffffff
101,False,583275.1324,4133947.463,49067107,37.3484926,-122.0597755,87283472bffffff
102,False,583068.7547,4134720.064,49067139,37.3554743,-122.0620187,87283472bffffff
103,False,583528.1062,4132133.979,49071606,37.3321255,-122.057124,872834728ffffff
104,False,583681.3875,4132140.67,49071638,37.332172,-122.0553932,872834728ffffff
105,False,585639.7337,4135726.416,60006480,37.3643104,-122.0328755,87283470cffffff
106,False,585684.0568,4135783.68,60006481,37.3648224,-122.0323684,87283470cffffff
107,False,585651.799,4135735.627,60006482,37.3643923,-122.0327382,87283470cffffff
108,False,590020.2061,4138333.814,60434555,37.3873946,-121.9830968,87283471dffffff
