request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,rider_declined,decision_time,chosen_operator_id,operator_id,vehicle_id,vehicle_id_cancelled_rq,pickup_time,dropoff_time,fare,modal_state,initial_expected_wait_time,last_wait_time,diffusion_cancelled,diffusion_decision_time,max_diff_dec_time_reached,last_diffusion_state_value,no_show_stat,diffusion_state_values
30,BasicRequest_no_show,1,30780,30780,2403;-1;-1,3266;-1;-1,,,,,690.130917241549,4261.138325309999,0:t_wait:1139.7513564798282;t_drive:990.1309172415495;fare:426,False,30810,0,,,,,,426,0,,1139.7513564798282,True,30810,True,-31.26480386550714,False,[]
31,BasicRequest_no_show,1,30780,30780,2311;-1;-1,3562;-1;-1,,,,,161.68815829942065,1291.9926339889998,0:t_wait:1191.6890157926682;t_drive:461.68815829942105;fare:129,False,30810,0,,,,,,129,0,,1191.6890157926682,True,30810,True,-19.723407673559507,False,[]
32,BasicRequest_no_show,1,30840,30840,3417;-1;-1,427;-1;-1,,,,,412.6821283239344,4111.23749377,0:t_wait:1152.2369746881668;t_drive:712.6821283239333;fare:411,False,30870,0,,,,,,411,0,,1152.2369746881668,True,30870,True,-12.483537658472866,False,[]
34,BasicRequest_no_show,1,30900,30900,1541;-1;-1,3972;-1;-1,,,,,951.584533287738,7929.013966447001,0:t_wait:1385.3550332782434;t_drive:1251.5845332877398;fare:792,True,,,,,,,,,0,,,False,,False,,False,[]
21,BasicRequest_no_show,1,29640,29640,1392;-1;-1,2098;-1;-1,,,,,709.3163665422094,6859.961658218,0:t_wait:512.341471064221;t_drive:1009.3163665422107;fare:685,False,,0,0,4,,30144.11667962755,30967.88782408702,685,0,,512.341471064221,False,29648.399999999878,False,80.01030876769906,False,[]
23,BasicRequest_no_show,1,29880,29880,2823;-1;-1,2675;-1;-1,,,,,852.0751406029487,5953.695719851,0:t_wait:453.03605116881226;t_drive:1152.0751406029485;fare:595,False,,0,0,3,,30307.74514084514,30980.208285304056,595,0,,453.03605116881226,False,29884.549999999934,False,84.67442103015593,False,[]
26,BasicRequest_no_show,1,30360,30360,3516;-1;-1,3852;-1;-1,,,,,383.71345763652954,4150.86031747,0:t_wait:45.52828206027698;t_drive:683.7134576365279;fare:415,False,,0,0,5,,30405.528282060273,31012.03714718995,415,0,,45.52828206027698,False,30367.149999999896,False,80.73541664097674,False,[]
25,BasicRequest_no_show,1,30360,30360,821;-1;-1,2858;-1;-1,,,,,618.5141472422134,5218.87623852,0:t_wait:70.32650141719205;t_drive:918.5141472422147;fare:521,False,,0,0,10,,30430.32650141719,31249.019143309986,521,0,,70.32650141719205,False,30369.849999999857,False,81.07560876242128,False,[]
38,BasicRequest_no_show,1,31260,31260,3931;-1;-1,3754;-1;-1,,,,,966.9323499919519,7101.214809366998,0:t_wait:1155.1567670620425;t_drive:1266.9323499919556;fare:710,False,31290,0,,,,,,710,0,,1155.1567670620425,True,31290,True,-8.36123456084935,False,[]
39,BasicRequest_no_show,1,31320,31320,2205;-1;-1,849;-1;-1,,,,,553.1425775459583,3384.16410322,0:t_wait:831.0480306270947;t_drive:853.1425775459611;fare:338,True,,,,,,,,,0,,,False,,False,,False,[]
24,BasicRequest_no_show,1,30360,30360,1815;-1;-1,1047;-1;-1,,,,,663.3500002875217,4297.27356186,0:t_wait:206.9837522425587;t_drive:963.3500002875226;fare:429,False,,0,0,9,,30566.98375224256,31323.150906304276,429,0,,206.9837522425587,False,30364.499999999935,False,80.09113637391621,False,[]
22,BasicRequest_no_show,1,29760,29760,2319;-1;-1,1587;-1;-1,,,,,870.7116429729319,8568.032342917,0:t_wait:544.3557505889148;t_drive:1170.7116429729322;fare:856,False,,0,0,7,,30104.18759876428,31348.963526168118,856,0,,544.3557505889148,False,29768.749999999873,False,82.07911952000165,False,[]
41,BasicRequest_no_show,1,31560,31560,833;-1;-1,1493;-1;-1,,,,,227.95929886002352,2010.3039473500003,0:t_wait:1007.3422035910917;t_drive:527.959298860027;fare:201,True,,,,,,,,,0,,,False,,False,,False,[]
29,BasicRequest_no_show,1,30720,30720,3442;-1;-1,427;-1;-1,,,,,451.1400014148336,3013.088040653,0:t_wait:658.6839799201953;t_drive:751.1400014148348;fare:301,False,,0,0,3,,31163.38691018067,31661.416972408977,301,0,,658.6839799201953,False,30725.59999999992,False,82.51758508986059,False,[]
43,BasicRequest_no_show,1,31860,31860,2448;-1;-1,898;-1;-1,,,,,1356.0518240276624,12050.312452975999,0:t_wait:1232.8632552722047;t_drive:1656.0518240276651;fare:1205,True,,,,,,,,,0,,,False,,False,,False,[]
20,BasicRequest_no_show,1,29520,29520,1591;-1;-1,3484;-1;-1,,,,,1692.168069071874,14519.217267989996,0:t_wait:176.80161459318697;t_drive:1992.168069071875;fare:1451,False,,0,0,0,,29696.80161459319,31893.612116171756,1451,0,,176.80161459318697,False,29529.349999999864,False,80.32771898013604,False,[]
36,BasicRequest_no_show,2,31200,31200,866;-1;-1,1809;-1;-1,,,,,415.45408816402573,4129.5086948,0:t_wait:221.47874063048585;t_drive:715.4540881640241;fare:825,False,,0,0,4,,31466.699537563334,32039.523705272833,825,0,,221.47874063048585,False,31208.19999999988,False,80.54787675336408,False,[]
35,BasicRequest_no_show,1,31020,31020,3750;-1;-1,3478;-1;-1,,,,,730.6064893452769,5016.977855163001,0:t_wait:662.1178920997518;t_drive:1030.6064893452785;fare:501,False,,0,0,10,,31510.96987666926,32269.35146674006,501,0,,662.1178920997518,False,31029.399999999863,False,82.40815687895672,False,[]
33,BasicRequest_no_show,1,30840,30840,3178;-1;-1,1587;-1;-1,,,,,823.8636752891632,8700.644991247,0:t_wait:684.7828514273824;t_drive:1123.8636752891616;fare:870,False,,0,0,8,,31542.825017104886,32447.450583242597,870,0,,684.7828514273824,False,30845.849999999915,False,81.1533578525444,False,[]
40,BasicRequest_no_show,1,31440,31440,2311;-1;-1,3562;-1;-1,,,,,161.68815829942065,1291.9926339889998,0:t_wait:719.1944503887753;t_drive:461.68815829942105;fare:129,False,,0,0,9,,32183.634282798863,32458.07806372461,129,0,,719.1944503887753,False,31457.049999999752,False,81.28875519595019,False,[]
27,BasicRequest_no_show,1,30600,30600,3529;-1;-1,3562;-1;-1,,,,,851.9526988670075,7867.752209942,0:t_wait:694.9702518363629;t_drive:1151.9526988670077;fare:786,False,,0,0,6,,31350.215656905784,32476.82495495188,786,0,,694.9702518363629,False,30609.199999999866,False,80.68417940419869,False,[]
28,BasicRequest_no_show,1,30660,30660,1;-1;-1,1809;-1;-1,,,,,680.8004942030157,6573.47682007,0:t_wait:491.3782156954585;t_drive:980.8004942030166;fare:657,False,,0,0,11,,31282.94092402908,32536.753692094862,657,0,,491.3782156954585,False,30664.74999999993,False,80.44510560936719,False,[]
37,BasicRequest_no_show,1,31200,31200,1504;-1;-1,3313;-1;-1,,,,,357.1097048896836,2956.0662713600004,0:t_wait:1021.665044496709;t_drive:657.1097048896845;fare:295,False,,0,0,3,,32170.59272684902,32671.319551617067,295,0,,1021.665044496709,False,31230,True,56.90785445248332,False,[]
42,BasicRequest_no_show,1,31740,31740,2168;-1;-1,1687;-1;-1,,,,,359.8867640439722,3573.87847994,0:t_wait:468.4363463728696;t_drive:659.8867640439748;fare:357,False,,0,0,5,,32178.630403320694,32693.118155138076,357,0,,468.4363463728696,False,31746.649999999903,False,81.05441846116764,False,[]
53,BasicRequest_no_show,1,33120,33120,1985;-1;-1,1587;-1;-1,,,,,1369.2223334541736,13309.016507086999,0:t_wait:1250.9916094180735;t_drive:1669.2223334541704;fare:1330,True,,,,,,,,,0,,,False,,False,,False,[]
52,BasicRequest_no_show,2,33120,33120,802;-1;-1,3541;-1;-1,,,,,1215.2062892540132,10340.365537553,0:t_wait:1299.5991663362802;t_drive:1515.2062892540125;fare:2068,False,33150,0,,,,,,2068,0,,1299.5991663362802,True,33150,True,-35.76600951677785,False,[]
45,BasicRequest_no_show,2,32400,32400,1391;-1;-1,1586;-1;-1,,,,,1659.2855118390003,15802.559269953003,0:t_wait:631.5554001345008;t_drive:1959.2855118389998;fare:3160,False,33230,0,,,,,,3160,0,,,False,,False,,True,[]
