,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,0.9796965980163612,1156.0,70084.11882127382
1,0,1,0.9764830066328278,1587.0,70319.1561827827
2,0,2,0.997498614657455,2009.0,47600.0
3,0,3,0.9802942232305125,254.0,70000.0
4,0,4,0.9848807540913147,4068.0,70000.0
5,0,5,0.9847400074922811,544.0,70000.0
6,0,6,0.7438922314820337,3364.0,70000.0
7,0,7,0.7770427019525317,2355.0,70000.0
8,0,8,0.8419369358415516,2451.0,70000.0
9,0,9,0.9085510195913961,1027.0,70000.0
10,0,10,0.5976801865166971,452.0,70000.0
11,0,11,0.8777251119109267,166.0,70000.0
