,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,0.7030078735167803,3397,70000.0
1,0,1,0.7939787078466287,1955,70511.95500941046
2,0,2,0.8783410620683957,544,70000.0
3,0,3,0.5241727777045068,1815,70000.0
4,0,4,0.9486699540558873,301,70000.0
5,0,5,0.7902121696161096,1156,70084.42168487841
6,0,6,0.6372895165276667,2355,70000.0
7,0,7,0.8549241861502719,2893,70127.53508933462
8,0,8,0.6276530733047505,2451,70000.0
9,0,9,0.8491229445844093,3364,70000.0
10,0,10,0.7005893064173586,1587,70405.29288557461
11,0,11,0.6675861863750407,452,70000.0
