request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,rider_declined,decision_time,chosen_operator_id,operator_id,vehicle_id,vehicle_id_cancelled_rq,pickup_time,dropoff_time,fare,modal_state,initial_expected_wait_time,last_wait_time,diffusion_cancelled,diffusion_decision_time,max_diff_dec_time_reached,last_diffusion_state_value,no_show_stat,diffusion_state_values,second_vehicle_assigned,assigned_vids,looser_vid
0,BasicRequest_no_show,1,25260,25260,1169;-1;-1,3613;-1;-1,,,,,379.730806386,3488.96795059,0:t_wait:250.65292100250008;t_drive:679.730806386;fare:348,False,,0,0,7,,25619.759654521156,26244.23829347318,348,0,,250.65292100250008,False,25269.849999999857,False,80.0481447281491,False,[],False,,
1,BasicRequest_no_show,1,25260,25260,3964;-1;-1,442;-1;-1,,,,,688.9644988845,4660.77485407,0:t_wait:369.14300729849856;t_drive:988.9644988844993;fare:466,False,,0,0,6,,25691.800833003424,26596.97112792726,466,0,,369.14300729849856,False,25265.39999999992,False,82.43833010121621,False,[],True,"(6, 11)",11
2,BasicRequest_no_show,1,25500,25500,1887;-1;-1,1587;-1;-1,,,,,839.3567967162858,6818.626770446999,0:t_wait:459.8187916687493;t_drive:1139.3567967162853;fare:681,False,,0,0,8,,25974.294098157614,26904.16665438312,681,0,,459.8187916687493,False,25505.299999999923,False,80.07511815556963,False,[],False,,
3,BasicRequest_no_show,1,25920,25920,1323;-1;-1,1587;-1;-1,,,,,869.631571262201,11283.945719009998,0:t_wait:73.09489247823149;t_drive:1169.6315712622018;fare:1128,False,,0,0,9,,25993.09489247823,27118.76608091059,1128,0,,73.09489247823149,False,25924.69999999993,False,82.11906597622637,False,[],False,,
10,BasicRequest_no_show,1,27780,27780,366;-1;-1,1047;-1;-1,,,,,818.1301007064224,6639.495182204,0:,False,,,,,,,,,0,,,False,,False,,False,[],False,,
11,BasicRequest_no_show,1,27900,27900,1125;-1;-1,2064;-1;-1,,,,,739.9620352688476,6596.00461104,0:,False,,,,,,,,,0,,,False,,False,,False,[],False,,
4,BasicRequest_no_show,1,26400,26400,1176;-1;-1,3562;-1;-1,,,,,871.1458238729645,8132.979935830001,0:t_wait:292.9765262482797;t_drive:1171.1458238729647;fare:813,False,,0,0,7,,26719.487975973465,28030.197532994578,813,0,,292.9765262482797,False,26406.8999999999,False,81.66799034117057,False,[],False,,
13,BasicRequest_no_show,1,28320,28320,2355;-1;-1,1520;-1;-1,,,,,849.1033687418136,5576.25763896,0:,False,,,,,,,,,0,,,False,,False,,False,[],False,,
14,BasicRequest_no_show,1,28320,28320,852;-1;-1,1140;-1;-1,,,,,1687.077383904456,14740.558612135002,0:,False,,,,,,,,,0,,,False,,False,,False,[],False,,
15,BasicRequest_no_show,1,28500,28500,332;-1;-1,2094;-1;-1,,,,,879.3671768331901,8828.933635930001,0:t_wait:1420.2329784761532;t_drive:1179.3671768331915;fare:882,True,,,,,,,,,0,,,False,,False,,False,[],False,,
16,BasicRequest_no_show,1,28680,28680,3232;-1;-1,33;-1;-1,,,,,754.9411027136234,7357.870522260002,0:t_wait:1066.7930747083738;t_drive:1054.941102713623;fare:735,False,28710,0,,,,,,735,0,,1066.7930747083738,True,28710,True,-8.360029529079176,False,[],False,,
6,BasicRequest_no_show,1,27180,27180,418;-1;-1,1587;-1;-1,,,,,954.7265833008358,9461.304579696998,0:t_wait:630.5588964507187;t_drive:1254.726583300835;fare:946,False,,0,0,11,,27820.699160342963,28990.02900141673,946,0,,630.5588964507187,False,27186.049999999912,False,80.65653281928081,False,[],False,,
18,BasicRequest_no_show,1,29100,29100,1807;-1;-1,3665;-1;-1,,,,,807.4902344368079,5552.98228709,0:t_wait:1071.7711717934253;t_drive:1107.4902344368093;fare:555,True,,,,,,,,,0,,,False,,False,,False,[],False,,
19,BasicRequest_no_show,1,29160,29160,3661;-1;-1,428;-1;-1,,,,,620.0917821804765,5161.51608731,0:t_wait:1199.6013913613497;t_drive:920.091782180476;fare:516,True,,,,,,,,,0,,,False,,False,,False,[],False,,
7,BasicRequest_no_show,1,27240,27240,1889;-1;-1,2617;-1;-1,,,,,1016.3624002128051,10699.45155454,0:t_wait:681.0311608050906;t_drive:1316.3624002128054;fare:1069,False,,0,0,6,,28060.905407904116,29365.51473363666,1069,0,,681.0311608050906,False,27246.549999999905,False,82.97441593347726,False,[],True,"(6, 7)",7
9,BasicRequest_no_show,1,27660,27660,325;-1;-1,3988;-1;-1,,,,,350.4303028686733,4942.31247601,0:t_wait:790.3988926627244;t_drive:650.4303028686736;fare:494,False,,0,0,9,,28886.00542940777,29413.26146090379,494,0,,790.3988926627244,False,27674.949999999782,False,80.81428085939271,False,[],False,,
5,BasicRequest_no_show,1,27060,27060,3723;-1;-1,2508;-1;-1,,,,,1036.8326241450304,11244.37278958,0:t_wait:612.8563683205502;t_drive:1336.8326241450304;fare:1124,False,,0,0,10,,28125.657261129458,29623.332950098964,1124,0,,612.8563683205502,False,27064.599999999933,False,80.93234756412139,False,[],False,,
12,BasicRequest_no_show,1,28260,28260,495;-1;-1,3562;-1;-1,,,,,691.4381896065756,5245.792064872001,0:t_wait:568.266356938766;t_drive:991.4381896065752;fare:524,False,,0,0,7,,29077.880412084698,29817.95852460513,524,0,,568.266356938766,False,28265.799999999916,False,80.20113760826335,False,[],False,,
23,BasicRequest_no_show,1,29880,29880,2823;-1;-1,2675;-1;-1,,,,,662.984747284072,6021.072025226,0:t_wait:1279.1794270816463;t_drive:962.9847472840702;fare:602,True,,,,,,,,,0,,,False,,False,,False,[],False,,
8,BasicRequest_no_show,1,27420,27420,3151;-1;-1,422;-1;-1,,,,,1246.6341333637336,11001.057532882998,0:t_wait:982.0707459978003;t_drive:1546.634133363732;fare:1100,False,,0,0,8,,28478.034172671385,30237.770217616988,1100,0,,982.0707459978003,False,27450,True,36.788750166807226,False,[],False,,
26,BasicRequest_no_show,1,30360,30360,3516;-1;-1,3852;-1;-1,,,,,371.361362391468,4666.15724979,0:t_wait:1479.467048331535;t_drive:671.361362391468;fare:466,True,,,,,,,,,0,,,False,,False,,False,[],False,,
