,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,0.9872841980953211,2009.0,47600.0
1,0,1,0.981268838631173,452.0,70000.0
2,0,2,0.9858207360910742,4068.0,70000.0
3,0,3,0.9839644438340678,2355.0,70051.7884632948
4,0,4,0.9822704787625899,1156.0,70000.0
5,0,5,0.9797168297392524,1587.0,70274.04907098535
6,0,6,0.5560262147770206,2893.0,70384.84066977583
7,0,7,0.7527964681984671,2451.0,70000.0
8,0,8,0.7898893257671225,4032.0,70000.0
9,0,9,0.7129824150861566,988.0,70000.0
10,0,10,0.5139036882314696,3364.0,70000.0
11,0,11,0.7997142731575608,1815.0,70000.0
