request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,rider_declined,decision_time,chosen_operator_id,operator_id,vehicle_id,vehicle_id_cancelled_rq,pickup_time,dropoff_time,fare,modal_state,initial_expected_wait_time,last_wait_time,diffusion_cancelled,diffusion_decision_time,max_diff_dec_time_reached,last_diffusion_state_value,no_show_stat,diffusion_state_values,second_vehicle_assigned,assigned_vids,looser_vid
0,BasicRequest_no_show,1,25260,25260,1169;-1;-1,3613;-1;-1,,,,,379.730806386,3488.96795059,0:t_wait:253.60319661299945;t_drive:679.730806386;fare:348,False,,0,0,7,,25565.994508876847,26146.018410243207,348,0,,253.60319661299945,False,25268.049999999883,False,81.3454356747812,False,[],False,,
1,BasicRequest_no_show,1,25260,25260,3964;-1;-1,442;-1;-1,,,,,688.9644988845,4660.77485407,0:t_wait:318.1427022255011;t_drive:988.9644988844993;fare:466,False,,0,0,9,,25585.3532508991,26583.249976524352,466,0,,318.1427022255011,False,25268.549999999876,False,80.53161168064373,False,[],False,,
2,BasicRequest_no_show,1,25500,25500,1887;-1;-1,1587;-1;-1,,,,,726.1530086947806,6764.812435077,0:t_wait:162.0907939210083;t_drive:1026.1530086947823;fare:676,False,,0,0,10,,25662.09079392101,26590.2020974373,676,0,,162.0907939210083,False,25506.14999999991,False,82.98471342082006,False,[],True,"(10, 6)",6
6,BasicRequest_no_show,1,27180,27180,418;-1;-1,1587;-1;-1,,,,,971.8780370295765,10131.541880037,0:t_wait:891.3112804448647;t_drive:1271.8780370295754;fare:1013,True,,,,,,,,,0,,,False,,False,,False,[],False,,
8,BasicRequest_no_show,1,27420,27420,3151;-1;-1,422;-1;-1,,,,,1238.4464075990709,12081.4876804,0:,False,,,,,,,,,0,,,False,,False,,False,[],False,,
9,BasicRequest_no_show,1,27660,27660,325;-1;-1,3988;-1;-1,,,,,339.52449290589857,3406.71287337,0:t_wait:1212.4372584302546;t_drive:639.5244929058972;fare:340,False,27690,0,,,,,,340,0,,1212.4372584302546,True,27690,True,-13.675856577106165,False,[],False,,
3,BasicRequest_no_show,1,25920,25920,1323;-1;-1,1587;-1;-1,,,,,966.1602587200096,13392.450077108002,0:t_wait:422.97291274241434;t_drive:1266.1602587200105;fare:1339,False,,0,0,8,,26342.97291274242,27746.42697629097,1339,0,,422.97291274241434,False,25929.59999999986,False,80.07722869517042,False,[],False,,
10,BasicRequest_no_show,1,27780,27780,366;-1;-1,1047;-1;-1,,,,,746.8411304984915,4670.1667873999995,0:t_wait:1023.6721602336438;t_drive:1046.841130498491;fare:467,True,,,,,,,,,0,,,False,,False,,False,[],False,,
13,BasicRequest_no_show,1,28320,28320,2355;-1;-1,1520;-1;-1,,,,,767.2642200595284,5586.41916005,0:,False,,,,,,,,,0,,,False,,False,,False,[],False,,
14,BasicRequest_no_show,1,28320,28320,852;-1;-1,1140;-1;-1,,,,,1754.4924215572273,16394.293859639998,0:,False,,,,,,,,,0,,,False,,False,,False,[],False,,
15,BasicRequest_no_show,1,28500,28500,332;-1;-1,2094;-1;-1,,,,,934.7871208116073,9225.889059910001,0:,False,,,,,,,,,0,,,False,,False,,False,[],False,,
16,BasicRequest_no_show,1,28680,28680,3232;-1;-1,33;-1;-1,,,,,795.9093411487404,8946.65677477,0:t_wait:1067.5708094247966;t_drive:1095.909341148741;fare:894,True,,,,,,,,,0,,,False,,False,,False,[],False,,
4,BasicRequest_no_show,1,26400,26400,1176;-1;-1,3562;-1;-1,,,,,887.0511791005638,8449.111780430001,0:t_wait:313.6397119936519;t_drive:1187.0511791005629;fare:844,False,,0,0,7,,26748.213617800156,28700.750132453235,844,0,,313.6397119936519,False,26407.54999999989,False,81.15360479169685,False,[],True,"(7, 6)",6
7,BasicRequest_no_show,1,27240,27240,1889;-1;-1,2617;-1;-1,,,,,960.0473758753378,9317.774598146003,0:t_wait:632.0651524038476;t_drive:1260.047375875336;fare:931,False,,0,0,9,,27867.11843825128,29086.251127406107,931,0,,632.0651524038476,False,27244.399999999936,False,80.23678771004262,False,[],True,"(9, 11)",11
20,BasicRequest_no_show,1,29520,29520,1591;-1;-1,3484;-1;-1,,,,,1393.8439614487204,14398.884794925998,0:,False,,,,,,,,,0,,,False,,False,,False,[],False,,
5,BasicRequest_no_show,1,27060,27060,3723;-1;-1,2508;-1;-1,,,,,1144.772949796189,11525.345790793002,0:t_wait:848.7697344334374;t_drive:1444.7729497961882;fare:1152,False,,0,0,10,,28119.745354220333,29540.614782237048,1152,0,,796.3556943658041,False,27081.499999999687,False,81.04175732753964,False,[],True,"(6, 10)",6
