operator_id,vehicle_id,vehicle_type,status,locked,earliest_start_time,start_time,end_time,first_attempt_time,no_show_wait_delay,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,7,default_vehtype,route,False,-1000,25260,25565.994508876847,25260,0,4039;-1;-1,1169;-1;-1,1744.5794729599995,0.7747723634223627,0.7745979054750669,0.0,,0,,0,,,4039;2110;866;865;791;864;863;2934;3625;3438;3440;2554;3631;3636;3843;1169,4039:25260;2110:25268.88247050858;866:25387.71110436972;865:25475.475330769288;791:25486.080888414486;864:25493.580326707273;863:25496.860419679746;2934:25502.608302255907;3625:25522.91656670095;3438:25525.42508487973;3440:25527.519275120758;2554:25533.557507765792;3631:25537.943828025465;3636:25547.823946491004;3843:25550.66170906312;1169:25565.994508876847
0,9,default_vehtype,route,False,-1000,25260,25585.3532508991,25260,0,1815;-1;-1,3964;-1;-1,2198.7925363599998,0.7364039848777426,0.7361841056241069,0.0,,0,,0,,,1815;1517;3666;2670;2671;2582;335;3110;1570;1262;3964,1815:25260;1517:25271.134358979718;3666:25331.66489411915;2670:25334.02121294398;2671:25426.651969412836;2582:25478.399451091103;335:25492.963438495208;3110:25507.966243958217;1570:25551.938405982048;1262:25580.38319725781;3964:25585.3532508991
0,9,default_vehtype,boarding,True,25260,25585.3532508991,25595.246367415933,25585.3532508991,0.0,3964;-1;-1,3964;-1;-1,0.0,0.7361841056241069,0.7361841056241069,0,,0,1,1,1,,,
0,10,default_vehtype,route,False,-1000,25500,25662.09079392101,25500,0,1149;-1;-1,1887;-1;-1,1483.6847628799997,0.5386447830395864,0.538496414563298,0.0,,0,,0,,,1149;1362;1810;1811;1104;1878;3442;1887,1149:25500;1362:25511.001994511407;1810:25525.831922915502;1811:25601.335125112448;1104:25636.70797154513;1878:25647.579120082635;3442:25651.182788420738;1887:25662.09079392101
0,6,default_vehtype,route,False,-1000,25500,25662.09079392101,25500,0,198;-1;-1,2655;2579;0.976,1649.9206660524972,0.5816622241041334,0.5814972320375283,0.0,,0,,0,,,198;199;3448;2864;3450;2655,198:25500;199:25553.80888408046;3448:25560.910395436527;2864:25566.298432557942;3450:25569.087619952843;2655:25607.346124518455
0,7,default_vehtype,boarding,True,25260,25565.994508876847,25684.385417423466,25565.994508876847,0.0,1169;-1;-1,1169;-1;-1,0.0,0.7745979054750669,0.7745979054750669,0,,0,0,1,0,,,
0,10,default_vehtype,boarding,True,25500,25662.09079392101,25693.58092262564,25662.09079392101,0.0,1887;-1;-1,1887;-1;-1,0.0,0.538496414563298,0.538496414563298,0,,0,2,1,2,,,
0,7,default_vehtype,route,False,-1000,25684.385417423466,26146.018410243207,25684.385417423466,0.0,1169;-1;-1,3613;-1;-1,3350.914634330001,0.7745979054750669,0.7742628140116335,0.0,,0,0,1,,,1169;3843;3636;3631;2554;3440;3438;3625;2934;863;864;791;865;866;3526;2823;3226;67;3224;3582;2559;2560;3218;3216;1808;3614;3808;3929;722;3692;3212;1545;3612;3613,1169:25684.385417423466;3843:25695.442143493576;3636:25704.336755185504;3631:25717.864345594626;2554:25721.093316744722;3440:25725.815542393168;3438:25727.920547851594;3625:25729.50435639785;2934:25756.67835362533;863:25758.19903534735;864:25766.117899039302;791:25771.173680461383;865:25779.48689283262;866:25849.651826758218;3526:25861.145623725166;2823:25873.238741931313;3226:25874.424266766015;67:25896.038633225147;3224:25915.28262826466;3582:25927.066358297798;2559:25929.177534291855;2560:25931.002759051098;3218:25939.357157434817;3216:26028.918175357845;1808:26030.76058055526;3614:26042.12682555169;3808:26056.044694668588;3929:26072.099658914976;722:26077.793685425822;3692:26080.677785857653;3212:26083.83735061165;1545:26122.708449255533;3612:26133.987021130106;3613:26146.018410243207
0,7,default_vehtype,boarding,True,-1,26146.018410243207,26176.018410243207,26146.018410243207,0.0,3613;-1;-1,3613;-1;-1,0.0,0.7742628140116335,0.7742628140116335,0,,0,0,1,,0,,
0,8,default_vehtype,route,False,-1000,25920.0,26342.97291274242,25920.0,0.0,473;-1;-1,1323;-1;-1,4610.487926512001,0.8136958413522131,0.8132347925595619,0.0,,0,,0,,,473;474;475;309;476;2335;3704;3207;3210;3967;2334;2697;504;3646;2824;2178;1872;1198;2333;1251;1566;1768;1189;2025;2048;895;774;2332;2331;2330;2329;2153;2896;3289;3444;3283;3132;646;3295;1327;1287;1326;1111;1325;1324;1323,473:25920;474:25924.544613087197;475:25940.14939768806;309:25952.082384757952;476:25957.47507575902;2335:25968.862634579928;3704:25991.497090380748;3207:25992.56910744247;3210:25996.26820438407;3967:25998.569631745468;2334:26004.66500446137;2697:26006.3523118863;504:26011.70406512169;3646:26012.557144998522;2824:26014.23372945979;2178:26035.254406781267;1872:26049.019864413054;1198:26053.504092066985;2333:26066.620715898793;1251:26099.523341794393;1566:26105.070034584623;1768:26106.052264267004;1189:26111.766359705056;2025:26116.235886721734;2048:26124.967168819127;895:26129.993427562265;774:26132.758613480666;2332:26145.314984589273;2331:26164.835274281075;2330:26193.807545989;2329:26204.7759574158;2153:26210.117451849183;2896:26219.811039630487;3289:26233.649746929397;3444:26237.721235285346;3283:26261.620064453524;3132:26264.201714570227;646:26266.23481377646;3295:26268.2822327111;1327:26269.58180410113;1287:26279.559110186572;1326:26286.339709988042;1111:26299.243425367593;1325:26313.145870404554;1324:26334.444847642495;1323:26342.97291274242
