operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,0,low_range_vehtype,waiting,False,-60,-1,2980;-1;-1,2980;-1;-1,0.0,1.0,1.0,0.0,,0,,0,,,,
0,3,low_range_vehtype,to_depot,True,1800.0,1963.2283132709997,33878;-1;-1,2966;-1;-1,2936.3759999999997,0.7724415914984484,0.47880399149844843,0.0,,0,,0,,,33878;45715;45714;39148;47696;43478;40972;1562;3351;2388;678;3161;2020;3468;2811;1352;1641;1642;37642;1103;1815;1374;1542;2965;2966,33878:1800;45715:1811.53185397;45714:1818.0673088649999;39148:1825.0075401099998;47696:1832.0725487519999;43478:1839.1062402859998;40972:1846.3157768359997;1562:1853.4855941269998;3351:1860.5029178349998;2388:1867.5489943579998;678:1874.596816782;3161:1888.5333118019998;2020:1895.5601834079998;3468:1902.628629294;2811:1909.622874366;1352:1916.712489307;1641:1923.8550268879999;1642:1930.3304684189998;37642:1936.7997050029999;1103:1940.45894155;1815:1943.5903894369999;1374:1947.4100081109998;1542:1953.3472492909998;2965:1958.6330761129998;2966:1963.2283132709997
0,3,low_range_vehtype,out_of_service,True,1963.2283132709997,1980.0,2966;-1;-1,2966;-1;-1,0.0,0.47880399149844843,0.47880399149844843,0.0,,0,,0,,,,
0,3,low_range_vehtype,charging,True,1980,2605.435210201862,2966;-1;-1,2966;-1;-1,0.0,0.47880399149844843,1.0,15,0-0,0,,0,,,,
0,4,low_range_vehtype,to_depot,True,1800.0,3160.634780911,22263;-1;-1,2966;-1;-1,35279.83700000001,0.9458865003910399,-2.582097199608961,0.0,,0,,0,,,22263;27818;29315;29314;28126;28550;14253;28549;29628;28548;29644;27689;27688;14196;29607;14256;27834;29600;14257;14258;27634;29974;14259;29643;29642;29630;25441;25440;13525;13526;13762;13761;13648;31605;31905;31885;49256;31727;31828;31990;31589;31491;48306;31986;31626;31875;31693;31560;49252;31708;36433;31591;31890;49249;36432;31855;48285;48284;31712;48283;49225;31567;36156;34350;36155;33674;36154;37642;1103;1815;1374;1542;2965;2966,22263:1800;27818:1834.44309234;29315:1835.564513242;29314:1838.80861646;28126:1842.81202315;28550:1849.7725504999999;14253:1855.4025917909998;28549:1870.7860572309999;29628:1895.5737119609998;28548:1900.432228468;29644:1944.779708698;27689:1966.652580878;27688:1967.3394839979999;14196:1977.6700377079999;29607:1978.349138831;14256:1989.612604101;27834:1999.174797477;29600:2013.263458717;14257:2013.769115438;14258:2019.290092444;27634:2031.089058434;29974:2031.666297116;14259:2032.418673338;29643:2094.276009008;29642:2095.408043904;29630:2108.949238364;25441:2109.535290432;25440:2134.898435532;13525:2140.655265644;13526:2166.500380174;13762:2195.106163684;13761:2218.456881234;13648:2231.0361282239996;31605:2369.8341484239995;31905:2413.9011812639997;31885:2464.8342958739995;49256:2480.9012659239993;31727:2496.6087210639994;31828:2541.9570783539993;31990:2560.024334653999;31589:2576.420485963999;31491:2633.154740163999;48306:2660.498344783999;31986:2672.601401153999;31626:2765.8888878839994;31875:2806.1753351639995;31693:2810.3180201139994;31560:2854.8835517239995;49252:2876.7120099839995;31708:2900.4582551439994;36433:2905.3688369989995;31591:2918.3714967789997;31890:2936.3958710989996;49249:2952.5800269589995;36432:2978.7226640789995;31855:3028.5029981589996;48285:3050.381921809;48284:3054.1158846969997;31712:3062.2713164159995;48283:3074.4497988259996;49225:3092.2406378259993;31567:3095.3344879359993;36156:3101.7729101169994;34350:3108.2169062349994;36155:3114.6775715769995;33674:3121.0935402609994;36154:3127.5334873869992;37642:3134.2061726429993;1103:3137.8654091899994;1815:3140.9968570769993;1374:3144.8164757509994;1542:3150.7537169309994;2965:3156.0395437529996;2966:3160.634780911
0,4,low_range_vehtype,out_of_service,True,3160.634780911,3180.0,2966;-1;-1,2966;-1;-1,0.0,-2.582097199608961,-2.582097199608961,0.0,,0,,0,,,,
0,2,low_range_vehtype,to_depot,True,1800.0,3234.261429286999,21800;-1;-1,2966;-1;-1,36051.31699999999,0.8229470565333281,-2.7821846434666724,0.0,,0,,0,,,21800;15276;14577;14576;14575;22840;20732;21046;21045;17986;21044;21043;15415;15416;15417;15418;28608;31392;18334;28609;24626;24627;18167;24628;24629;24630;21609;24631;21519;27637;24632;29646;29645;18834;25054;29974;14259;29643;29642;29630;25441;25440;13525;13526;13762;13761;13648;31605;31905;31885;49256;31727;31828;31990;31589;31491;48306;31986;31626;31875;31693;31560;49252;31708;36433;31591;31890;49249;36432;31855;48285;48284;31712;48283;49225;31567;36156;34350;36155;33674;36154;37642;1103;1815;1374;1542;2965;2966,21800:1800;15276:1810.43441303;14577:1817.267090195;14576:1826.382158198;14575:1835.228972801;22840:1846.951324271;20732:1853.902290627;21046:1859.90076951;21045:1865.1499502319998;17986:1875.4381095719998;21044:1880.6835853679997;21043:1886.1387739419997;15415:1896.8376208019997;15416:1907.0442700719998;15417:1913.9303238109999;15418:1923.9705122809999;28608:1935.139316951;31392:1936.832950521;18334:1938.964750807;28609:1942.439694938;24626:1946.543600083;24627:1949.830009017;18167:1957.4604783260002;24628:1967.531165516;24629:1977.221224012;24630:1980.385650014;21609:1987.279887666;24631:1994.591803266;21519:2021.258250896;27637:2023.281000538;24632:2023.925308094;29646:2049.267577224;29645:2050.079899552;18834:2078.683867892;25054:2091.5693886619997;29974:2105.2929454919995;14259:2106.0453217139993;29643:2167.902657383999;29642:2169.034692279999;29630:2182.575886739999;25441:2183.161938807999;25440:2208.525083907999;13525:2214.281914019999;13526:2240.127028549999;13762:2268.732812059999;13761:2292.083529609999;13648:2304.662776599999;31605:2443.4607967999987;31905:2487.527829639999;31885:2538.4609442499986;49256:2554.5279142999984;31727:2570.2353694399985;31828:2615.5837267299985;31990:2633.6509830299983;31589:2650.047134339998;31491:2706.7813885399983;48306:2734.124993159998;31986:2746.2280495299983;31626:2839.5155362599985;31875:2879.8019835399987;31693:2883.9446684899985;31560:2928.5102000999987;49252:2950.3386583599986;31708:2974.0849035199985;36433:2978.9954853749987;31591:2991.998145154999;31890:3010.0225194749987;49249:3026.2066753349986;36432:3052.3493124549987;31855:3102.1296465349988;48285:3124.008570184999;48284:3127.742533072999;31712:3135.8979647919987;48283:3148.0764472019987;49225:3165.8672862019985;31567:3168.9611363119984;36156:3175.3995584929985;34350:3181.8435546109986;36155:3188.3042199529987;33674:3194.7201886369985;36154:3201.1601357629984;37642:3207.8328210189984;1103:3211.4920575659985;1815:3214.6235054529984;1374:3218.4431241269986;1542:3224.3803653069986;2965:3229.666192128999;2966:3234.261429286999
0,2,low_range_vehtype,out_of_service,True,3234.261429286999,3240.0,2966;-1;-1,2966;-1;-1,0.0,-2.7821846434666724,-2.7821846434666724,0.0,,0,,0,,,,
0,3,low_range_vehtype,out_of_service,True,2605.435210201862,3600,2966;-1;-1,2966;-1;-1,0.0,1.0,1.0,0,,0,,0,,,,
0,4,low_range_vehtype,charging,True,3180.0,3600,2966;-1;-1,2966;-1;-1,0.0,-2.582097199608961,-2.2320971996089622,15,0-0,0,,0,,,,
0,2,low_range_vehtype,out_of_service,True,3240.0,3600,2966;-1;-1,2966;-1;-1,0.0,-2.7821846434666724,-2.7821846434666724,0,,0,,0,,,,
0,0,low_range_vehtype,out_of_service,True,-1.0,3600,2980;-1;-1,2980;-1;-1,0.0,1.0,1.0,0,,0,,0,,,,
0,4,low_range_vehtype,to_charge,True,3660.0,3991.0784143569995,2966;-1;-1,2993;-1;-1,5654.809,-2.2320971996089622,-2.7975780996089616,0.0,,0,,0,,,2966;2967;2968;2305;2969;7962;2970;7960;2971;7736;7439;7100;798;797;796;795;794;793;792;737;791;790;789;788;787;786;785;784;783;782;781;780;779;6923;7103;6928;6914;6919;6920;7970;6927;6915;6926;6922;6913;6921;8563;6916;6929;6918;2899;1394;2150;2295;2898;1009;2897;2993,2966:3660;2967:3662.299564198;2968:3664.640775165;2305:3669.223497258;2969:3672.721825834;7962:3673.324652295;2970:3674.3476273449996;7960:3679.3488153299995;2971:3680.2882865049996;7736:3683.2662933929996;7439:3685.8614865479994;7100:3687.5118975129994;798:3689.9331943749994;797:3692.2844489439995;796:3697.0245558589995;795:3701.9793119029996;794:3702.2825655839997;793:3706.6444336009995;792:3711.1087884259996;737:3715.9065803229996;791:3718.2749773749997;790:3720.331286583;789:3722.513377446;788:3726.047042675;787:3730.3533290819996;786:3731.1997786229995;785:3735.2652815019997;784:3736.7971674459995;783:3738.3131729299994;782:3741.9988067969994;781:3742.9223449279993;780:3746.880155152999;779:3752.899480431999;6923:3756.816905910999;7103:3770.157123160999;6928:3775.426017836999;6914:3780.9328564889993;6919:3789.4133375319993;6920:3793.7017978599993;7970:3796.9180642299993;6927:3797.8787794639993;6915:3811.349668713999;6926:3819.386233062999;6922:3828.323461369999;6913:3833.749320193999;6921:3840.114965698999;8563:3852.3076356789993;6916:3853.0733683139993;6929:3867.1597042539993;6918:3878.2679807239992;2899:3887.6448681389993;1394:3915.8955559989995;2150:3919.9272841439997;2295:3927.1585302289996;2898:3943.2284009389996;1009:3950.0995002809996;2897:3955.9918001869996;2993:3991.0784143569995
0,4,low_range_vehtype,waiting,False,3991.0784143569995,3991.078414357,2993;-1;-1,2993;-1;-1,0.0,-2.7975780996089616,-2.7975780996089616,0.0,,0,,0,,,,
0,0,low_range_vehtype,out_of_service,True,5400.0,7200.0,2980;-1;-1,2980;-1;-1,0.0,1.0,1.0,0,,0,,0,,,,
0,3,low_range_vehtype,out_of_service,True,5400.0,7200.0,2966;-1;-1,2966;-1;-1,0.0,1.0,1.0,0,,0,,0,,,,
