operator_id,vehicle_id,vehicle_type,status,locked,earliest_start_time,start_time,end_time,first_attempt_time,no_show_wait_delay,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,2,default_vehtype,route,False,-1000,25300,25377.032140689742,25300,0,2319;-1;-1,1518;-1;-1,543.8128423400001,0.9627983191463305,0.9627439378620967,0.0,,0,,0,,,2319;236;214;1518,2319:25300;236:25309.581239680447;214:25319.628680124217;1518:25377.032140689742
0,2,default_vehtype,boarding,True,25300,25377.032140689742,25407.032140689742,25377.032140689742,0.0,1518;-1;-1,1518;-1;-1,0.0,0.9627439378620967,0.9627439378620967,0,,0,820,1,820,,,
0,2,default_vehtype,route,False,-1000,25407.032140689742,25545.732474074965,25407.032140689742,0.0,1518;-1;-1,184;-1;-1,1447.65134825,0.9627439378620967,0.9625991727272717,0.0,,0,820,1,,,1518;265;3424;3422;3420;3419;3418;3790;3417;673;1280;3416;1281;184,1518:25407.032140689742;265:25418.796114312085;3424:25422.424454537322;3422:25427.4307816748;3420:25448.75443720138;3419:25457.619714055487;3418:25474.768324553894;3790:25484.58810938087;3417:25494.433825484106;673:25497.45765910754;1280:25518.445603824624;3416:25520.582482279828;1281:25537.754236981924;184:25545.732474074965
0,2,default_vehtype,boarding,True,-1,25545.732474074965,25575.732474074965,25545.732474074965,0.0,184;-1;-1,184;-1;-1,0.0,0.9625991727272717,0.9625991727272717,0,,0,820,1,,820,,
0,7,default_vehtype,route,False,-1000,25370,25688.22289768031,25370,0,2461;-1;-1,1786;-1;-1,3919.8779008799997,0.7724415914984484,0.7720496037083606,0.0,,0,,0,,,2461;3872;1411;2720;2719;3251;51;2608;3249;3258;3121;3257;3256;2726;2723;2721;2592;55;2640;2639;3134;49;3116;3042;4077;48;2672;1341;1342;1786,2461:25370;3872:25373.317680463144;1411:25375.450745854192;2720:25376.887902855386;2719:25379.96648225145;3251:25426.673541630258;51:25429.334672758756;2608:25430.276691185256;3249:25432.313374361875;3258:25455.457968071198;3121:25456.765711230928;3257:25457.106415038084;3256:25458.789872518504;2726:25477.2584221194;2723:25482.173617134395;2721:25484.113608035168;2592:25501.509323029728;55:25502.428551870005;2640:25506.321501782037;2639:25518.43679869134;3134:25525.140196576125;49:25526.16202702057;3116:25529.1617847764;3042:25547.82066067667;4077:25561.003270537953;48:25600.04672518891;2672:25605.62450122483;1341:25674.248861252094;1342:25684.10462167029;1786:25688.22289768031
0,7,default_vehtype,boarding,True,25370,25688.22289768031,25718.22289768031,25688.22289768031,0.0,1786;-1;-1,1786;-1;-1,0.0,0.7720496037083606,0.7720496037083606,0,,0,823,1,823,,,
0,5,default_vehtype,route,False,-1000,25600,25755.799964078044,25600,0,290;-1;-1,1965;-1;-1,1297.7828190899997,0.5435646498507704,0.5434348715688616,0.0,,0,,0,,,290;347;348;349;1406;1188;1405;1206;2451;1965,290:25600;347:25602.927568318355;348:25643.02809468494;349:25653.895130881985;1406:25679.958949532254;1188:25696.60055418431;1405:25704.532675763672;1206:25707.963097626078;2451:25740.24082437234;1965:25755.799964078044
0,5,default_vehtype,boarding,True,25600,25755.799964078044,25785.799964078044,25755.799964078044,0.0,1965;-1;-1,1965;-1;-1,0.0,0.5434348715688616,0.5434348715688616,0,,0,728,1,728,,,
0,1,default_vehtype,route,False,-1000,25620,25873.750940922382,25620,0,2241;-1;-1,3475;-1;-1,2893.08388699,0.8575946831862098,0.8573053747975108,0.0,,0,,0,,,2241;675;674;3417;3790;3418;3419;3420;3422;3424;265;3672;1517;3666;3115;3313;3665;3925;425;3477;3475,2241:25620;675:25628.52201994672;674:25648.37068756099;3417:25666.16249847262;3790:25676.66467118549;3418:25692.89993210983;3419:25708.585024274937;3420:25718.77504125752;3422:25742.11613155878;3424:25747.258992223356;265:25749.711295161374;3672:25752.590534487554;1517:25779.337763977484;3666:25805.768959596466;3115:25807.37213227677;3313:25837.67101508514;3665:25839.960150141455;3925:25852.30780447232;425:25858.895254255985;3477:25860.921947152627;3475:25873.750940922382
0,8,default_vehtype,route,False,-1000,25780,25877.23600745896,25780,0,82;-1;-1,3970;-1;-1,670.29900247,0.916309922773969,0.9162428928737217,0.0,,0,,0,,,82;2905;2653;2625;3970,82:25780;2905:25795.349160830345;2653:25796.33694442639;2625:25825.324214413507;3970:25877.23600745896
0,1,default_vehtype,boarding,True,25620,25873.750940922382,25903.750940922382,25873.750940922382,0.0,3475;-1;-1,3475;-1;-1,0.0,0.8573053747975108,0.8573053747975108,0,,0,854,1,854,,,
0,8,default_vehtype,boarding,True,25780,25877.23600745896,25907.23600745896,25877.23600745896,0.0,3970;-1;-1,3970;-1;-1,0.0,0.9162428928737217,0.9162428928737217,0,,0,504,1,504,,,
0,2,default_vehtype,route,False,-1000,25770,25919.39777859187,25770,0,184;-1;-1,3421;-1;-1,1319.3578233099997,0.9625991727272717,0.9624672369449406,0.0,,0,,0,,,184;1281;3416;3417;3790;3418;3419;3420;3422;3777;3421,184:25770;1281:25785.169934903188;3416:25801.488285358675;3417:25837.96050195582;3790:25848.462674668688;3418:25864.69793559303;3419:25880.383027758136;3420:25890.57304474072;3422:25913.91413504198;3777:25915.996590527466;3421:25919.39777859187
0,2,default_vehtype,boarding,True,25770,25919.39777859187,25949.39777859187,25919.39777859187,0.0,3421;-1;-1,3421;-1;-1,0.0,0.9624672369449406,0.9624672369449406,0,,0,890,1,890,,,
