rq_time,start,end,request_id,number_passenger,no_show_status,pudo_boarding_duration,pudo_alighting_duration,no_show_status_backup
47258,1489,4068,319,1,FALSE,43.74941177,30,FALSE
58359,236,2030,320,1,FALSE,2.167882184,30,FALSE
26898,553,256,321,1,FALSE,7.660358479,30,FALSE
30956,2877,1154,322,1,FALSE,4.256368108,30,FALSE
60551,1271,137,323,2,FALSE,73.44000935,30,FALSE
58796,439,2301,324,1,FALSE,19.95967615,30,FALSE
35742,1587,2229,325,2,FALSE,1.542365262,30,FALSE
50045,2356,3352,326,1,FALSE,10.19742346,30,FALSE
52745,359,2404,327,1,TRUE,70.69044827,30,TRUE
62322,2030,236,328,3,FALSE,117.5097445,30,FALSE
52611,744,3474,329,1,FALSE,34.92026564,30,FALSE
45140,1235,3421,330,1,FALSE,6.817340561,30,FALSE
43451,1587,3561,331,1,FALSE,229.7215097,30,FALSE
45645,1810,1587,332,1,FALSE,48.03111183,30,FALSE
54248,3561,1587,333,1,FALSE,37.10963682,30,FALSE
62376,1014,3665,334,1,FALSE,82.63164847,30,FALSE
47004,1587,1965,335,1,FALSE,92.63657179,30,FALSE
37002,746,1587,336,1,FALSE,76.13556936,30,FALSE
36167,1965,1587,337,1,FALSE,28.72849416,30,FALSE
56715,4068,1734,338,1,FALSE,40.37330355,30,FALSE
59979,1014,3665,339,1,FALSE,5.09253159,30,FALSE
31002,1235,3421,340,1,FALSE,1.521434324,30,FALSE
29417,137,1271,341,1,FALSE,30.69091225,30,FALSE
52438,1154,2877,342,1,FALSE,196.5143814,30,FALSE
31997,482,2313,343,1,TRUE,1.433437352,30,TRUE
60486,1793,281,344,1,FALSE,11.29070129,30,FALSE
39616,137,1271,345,1,FALSE,44.53372419,30,FALSE
32025,1587,1965,346,1,FALSE,30.51579273,30,FALSE
64691,3665,1014,347,1,FALSE,13.85306682,30,FALSE
33238,240,3450,348,1,FALSE,383.8669435,30,FALSE
38348,1517,3805,349,1,FALSE,103.7252654,30,FALSE
32163,2130,2513,350,1,FALSE,314.5499215,30,FALSE
31563,1276,3183,351,1,TRUE,27.76689967,30,TRUE
26977,3672,1281,352,1,FALSE,145.1070564,30,FALSE
28959,735,3971,353,1,FALSE,76.25558231,30,FALSE
34031,2834,2513,354,1,FALSE,20.84988461,30,FALSE
28886,3689,1587,355,1,FALSE,20.78153266,30,FALSE
52391,3571,3802,356,1,FALSE,680.2943169,30,FALSE
54826,3475,519,357,1,FALSE,1.053571759,30,FALSE
44400,1936,2311,358,1,FALSE,3.579001823,30,FALSE
40665,2404,359,359,1,TRUE,229.51305,30,TRUE
48598,184,1518,360,1,FALSE,26.71597113,30,FALSE
62784,2030,236,361,1,FALSE,243.0435041,30,FALSE
61284,2130,2513,362,1,FALSE,69.92213634,30,FALSE
28163,1767,1587,363,1,FALSE,56.96820016,30,FALSE
34218,2238,1736,364,1,FALSE,55.90739975,30,FALSE
36119,2229,1587,365,1,FALSE,40.18360588,30,FALSE
37337,2181,3568,366,1,FALSE,177.4099637,30,FALSE
45038,1013,3427,367,3,FALSE,243.0980934,30,FALSE
28630,3475,519,368,1,FALSE,15.52937417,30,FALSE
43245,3572,3803,369,2,FALSE,53.69667303,30,FALSE
50036,735,3971,370,1,FALSE,6.811771601,30,FALSE
31089,3683,1736,371,3,FALSE,107.3674687,30,FALSE
61049,3689,1587,372,1,TRUE,51.96426402,30,TRUE
28617,867,1282,373,1,FALSE,17.30360985,30,FALSE
64845,2442,1736,374,1,FALSE,7.881073725,30,FALSE
30876,1154,2877,375,1,FALSE,114.7687535,30,FALSE
61394,2834,2513,376,1,FALSE,93.78033715,30,FALSE
63695,3805,3397,377,1,FALSE,77.3324385,30,FALSE
67024,4023,1390,378,1,FALSE,60.58586657,30,FALSE
59317,1587,2229,379,1,FALSE,32.73052116,30,FALSE
58115,1235,54,380,1,FALSE,296.9899804,30,FALSE
54138,578,2122,381,1,FALSE,72.05458658,30,FALSE
57990,748,2122,382,1,FALSE,4.844439752,30,FALSE
31997,314,2122,383,2,FALSE,27.31098254,30,FALSE
50597,3816,2627,384,1,FALSE,265.9133455,30,FALSE
49079,1736,2442,385,2,FALSE,262.685138,30,FALSE
61821,3568,2181,386,1,FALSE,4.809027125,30,FALSE
47241,3350,292,387,1,FALSE,14.96499935,30,FALSE
43684,748,2122,388,2,FALSE,24.2891448,30,FALSE
53985,1587,746,389,1,FALSE,65.43320015,30,FALSE
37657,744,3477,390,1,FALSE,19.80759182,30,FALSE
31902,1135,3474,391,1,FALSE,82.72370796,30,FALSE
47566,3802,3571,392,1,FALSE,66.29418821,30,FALSE
45053,553,256,393,1,FALSE,1.575199738,30,FALSE
35727,292,3350,394,2,FALSE,366.8357213,30,FALSE
42803,3561,1587,395,1,FALSE,307.5816623,30,FALSE
42895,3665,1014,396,1,FALSE,485.8258776,30,FALSE
41353,1154,2877,397,1,FALSE,28.90982912,30,FALSE
43375,3873,1587,398,1,FALSE,375.2066237,30,FALSE
54612,1135,3474,399,1,FALSE,55.73132325,30,FALSE
39296,1786,3475,400,1,FALSE,122.8186165,30,FALSE
65534,281,1793,401,1,FALSE,186.030414,30,FALSE
64286,2122,1037,402,1,FALSE,52.41161003,30,FALSE
47967,3474,571,403,1,FALSE,146.0752178,30,FALSE
41323,3474,571,404,1,TRUE,43.74941177,30,TRUE
50324,1716,1901,405,1,FALSE,2.167882184,30,FALSE
61283,2181,3568,406,1,FALSE,7.660358479,30,FALSE
54297,3427,1013,407,1,FALSE,4.256368108,30,FALSE
59235,240,173,408,2,FALSE,73.44000935,30,FALSE
50259,2439,2311,409,1,FALSE,19.95967615,30,FALSE
53325,735,3971,410,2,FALSE,1.542365262,30,FALSE
38597,275,3562,411,1,FALSE,10.19742346,30,FALSE
56451,793,3350,412,1,TRUE,70.69044827,30,TRUE
35490,3441,2170,413,3,FALSE,117.5097445,30,FALSE
55008,744,3477,414,1,FALSE,34.92026564,30,FALSE
62084,351,427,415,1,FALSE,6.817340561,30,FALSE
32014,1734,4068,416,1,FALSE,229.7215097,30,FALSE
52909,1235,3421,417,1,FALSE,48.03111183,30,FALSE
30520,1587,1965,418,1,FALSE,37.10963682,30,FALSE
56621,748,2122,419,1,FALSE,82.63164847,30,FALSE
30118,2122,748,420,1,FALSE,92.63657179,30,FALSE
64920,1767,1587,421,1,FALSE,76.13556936,30,FALSE
32068,2030,236,422,1,FALSE,28.72849416,30,FALSE
65868,1281,3672,423,1,FALSE,40.37330355,30,FALSE
59144,1276,3183,424,1,FALSE,5.09253159,30,FALSE
52415,3350,3417,425,1,FALSE,1.521434324,30,FALSE
58076,3970,3816,426,1,FALSE,30.69091225,30,FALSE
58652,1767,1587,427,1,FALSE,196.5143814,30,FALSE
65317,1736,2442,428,1,FALSE,1.433437352,30,FALSE
37472,1517,3805,429,1,FALSE,11.29070129,30,FALSE
52299,1037,2122,430,1,TRUE,44.53372419,30,TRUE
30425,2687,3416,431,1,FALSE,30.51579273,30,FALSE
52856,1235,3421,432,1,FALSE,13.85306682,30,FALSE
33794,430,1282,433,1,FALSE,383.8669435,30,FALSE
51420,1965,1587,434,1,FALSE,103.7252654,30,FALSE
51702,793,3350,435,1,FALSE,314.5499215,30,FALSE
47308,1587,746,436,1,TRUE,27.76689967,30,TRUE
49622,2311,1936,437,1,FALSE,145.1070564,30,FALSE
57439,1206,2380,438,1,FALSE,76.25558231,30,FALSE
58932,3475,519,439,1,FALSE,20.84988461,30,FALSE
48077,3802,3571,440,1,FALSE,20.78153266,30,FALSE
52537,3477,744,441,1,FALSE,680.2943169,30,FALSE
65048,3474,1135,442,1,FALSE,1.053571759,30,FALSE
31527,2877,1154,443,1,FALSE,3.579001823,30,FALSE
31597,2122,1037,444,1,FALSE,229.51305,30,FALSE
30200,2313,482,445,1,FALSE,26.71597113,30,FALSE
54339,2627,3816,446,1,FALSE,243.0435041,30,FALSE
45196,1736,2442,447,1,FALSE,69.92213634,30,FALSE
57819,3427,1013,448,1,FALSE,56.96820016,30,FALSE
54498,3803,3572,449,1,FALSE,55.90739975,30,FALSE
41491,1736,2442,450,1,FALSE,40.18360588,30,FALSE
63305,3562,275,451,1,FALSE,177.4099637,30,FALSE
57566,425,571,452,1,FALSE,165.1273426,30,FALSE
37597,3119,1587,453,3,FALSE,243.0980934,30,FALSE
42541,744,3474,454,1,FALSE,15.52937417,30,FALSE
40259,1013,3427,455,2,FALSE,53.69667303,30,FALSE
32448,3802,3571,456,1,FALSE,6.811771601,30,FALSE
32333,793,3661,457,3,FALSE,107.3674687,30,FALSE
65081,3572,3803,458,1,FALSE,51.96426402,30,FALSE
46158,1013,3427,459,1,FALSE,17.30360985,30,FALSE
43725,314,2122,460,1,FALSE,7.881073725,30,FALSE
56474,3672,1281,461,1,FALSE,114.7687535,30,FALSE
51273,1271,137,462,1,FALSE,93.78033715,30,FALSE
65000,2734,129,463,1,TRUE,77.3324385,30,TRUE
57951,3450,240,464,1,FALSE,60.58586657,30,FALSE
47438,2313,482,465,1,FALSE,32.73052116,30,FALSE
43461,3474,744,466,1,FALSE,296.9899804,30,FALSE
67582,3805,3397,467,1,FALSE,72.05458658,30,FALSE
56329,3416,2687,468,1,FALSE,4.844439752,30,FALSE
65441,281,1793,469,2,FALSE,27.31098254,30,FALSE
31584,1736,3683,470,1,FALSE,265.9133455,30,FALSE
61285,2181,427,471,2,FALSE,262.685138,30,FALSE
53484,3421,1235,472,1,FALSE,4.809027125,30,FALSE
31702,1587,3561,473,1,FALSE,14.96499935,30,FALSE
52474,1235,3421,474,2,FALSE,24.2891448,30,FALSE
54873,2380,1206,475,1,FALSE,65.43320015,30,FALSE
26322,439,2301,476,1,FALSE,19.80759182,30,FALSE
46860,3665,1014,477,1,FALSE,82.72370796,30,FALSE
60588,2131,427,478,1,FALSE,66.29418821,30,FALSE
39162,427,2131,479,1,FALSE,1.575199738,30,FALSE
46963,749,2356,480,2,FALSE,366.8357213,30,FALSE
46710,4068,1734,481,1,FALSE,307.5816623,30,FALSE
39230,3474,744,482,1,FALSE,485.8258776,30,FALSE
64785,3571,3802,483,1,FALSE,28.90982912,30,FALSE
58074,1037,2122,484,1,FALSE,375.2066237,30,FALSE
31083,3417,1047,485,1,FALSE,55.73132325,30,FALSE
68323,292,3350,486,1,FALSE,122.8186165,30,FALSE
62776,2170,3441,487,1,FALSE,186.030414,30,FALSE
38192,2122,748,488,1,FALSE,52.41161003,30,FALSE
61087,519,3475,489,1,FALSE,146.0752178,30,FALSE
30919,1587,3873,490,1,FALSE,43.74941177,30,FALSE
68196,2687,3416,491,1,FALSE,2.167882184,30,FALSE
54515,3802,3571,492,1,FALSE,7.660358479,30,FALSE
54292,3970,3816,493,1,FALSE,4.256368108,30,FALSE
30155,1489,4068,494,2,FALSE,73.44000935,30,FALSE
63419,3119,1587,495,1,FALSE,19.95967615,30,FALSE
27132,1965,1587,496,2,TRUE,1.542365262,30,TRUE
36505,3816,3970,497,1,FALSE,10.19742346,30,FALSE
31963,1282,430,498,1,TRUE,70.69044827,30,TRUE
57906,1587,1767,499,3,FALSE,117.5097445,30,FALSE
35561,3683,1736,500,1,FALSE,34.92026564,30,FALSE
64020,1206,2380,501,1,FALSE,6.817340561,30,FALSE
54210,744,3474,502,1,FALSE,229.7215097,30,FALSE
28162,1716,1901,503,1,FALSE,48.03111183,30,FALSE
25788,3970,3816,504,1,FALSE,37.10963682,30,FALSE
28683,3683,1736,505,1,FALSE,82.63164847,30,FALSE
52608,1235,54,506,1,FALSE,92.63657179,30,FALSE
59233,3474,571,507,1,FALSE,76.13556936,30,FALSE
36052,1305,3196,508,1,FALSE,28.72849416,30,FALSE
61480,2513,2834,509,1,FALSE,40.37330355,30,FALSE
29354,230,3347,510,1,FALSE,5.09253159,30,FALSE
59356,3568,2181,511,1,FALSE,1.521434324,30,FALSE
64898,3802,230,512,1,FALSE,30.69091225,30,FALSE
57696,1013,3427,513,1,FALSE,196.5143814,30,FALSE
55156,747,3414,514,1,FALSE,1.433437352,30,FALSE
61063,1736,2238,515,1,FALSE,11.29070129,30,FALSE
28111,2513,2130,516,1,FALSE,44.53372419,30,FALSE
35546,2122,314,517,1,FALSE,30.51579273,30,FALSE
31932,4023,1390,518,1,FALSE,13.85306682,30,FALSE
48489,1281,3672,519,1,FALSE,383.8669435,30,FALSE
56943,3802,230,520,1,FALSE,103.7252654,30,FALSE
53200,2442,1736,521,1,FALSE,314.5499215,30,FALSE
61442,3816,2627,522,1,TRUE,27.76689967,30,TRUE
32173,314,2122,523,1,FALSE,145.1070564,30,FALSE
56520,3421,1235,524,1,FALSE,76.25558231,30,FALSE
35373,3474,1135,525,1,FALSE,20.84988461,30,FALSE
37786,1281,3672,526,1,FALSE,20.78153266,30,FALSE
56077,3421,1235,527,1,FALSE,680.2943169,30,FALSE
66994,1587,3689,528,1,FALSE,1.053571759,30,FALSE
52752,3427,1013,529,1,FALSE,3.579001823,30,FALSE
29080,2181,427,530,1,TRUE,229.51305,30,TRUE
53093,3474,744,531,1,FALSE,26.71597113,30,FALSE
27906,2122,1037,532,1,FALSE,243.0435041,30,FALSE
63223,1013,3427,533,1,FALSE,69.92213634,30,FALSE
56099,3802,230,534,1,FALSE,56.96820016,30,FALSE
33829,3873,1587,535,1,FALSE,55.90739975,30,FALSE
30069,747,3414,536,1,FALSE,40.18360588,30,FALSE
34428,1587,3119,537,1,FALSE,177.4099637,30,FALSE
66931,3417,1047,538,1,FALSE,165.1273426,30,FALSE
46944,427,2181,539,3,FALSE,243.0980934,30,FALSE
58087,1965,1587,540,1,FALSE,15.52937417,30,FALSE
53536,1587,1810,541,2,FALSE,53.69667303,30,FALSE
51809,3183,1276,542,1,FALSE,6.811771601,30,FALSE
31872,793,3350,543,3,FALSE,107.3674687,30,FALSE
65281,1587,3689,544,1,FALSE,51.96426402,30,FALSE
39193,3477,744,545,1,FALSE,17.30360985,30,FALSE
51790,4068,1489,546,1,FALSE,7.881073725,30,FALSE
55286,2439,2311,547,1,FALSE,114.7687535,30,FALSE
54091,256,553,548,1,FALSE,93.78033715,30,FALSE
64877,3970,1815,549,1,FALSE,77.3324385,30,FALSE
32238,3771,3613,550,1,FALSE,60.58586657,30,FALSE
48475,3805,1517,551,1,FALSE,32.73052116,30,FALSE
44808,1305,3196,552,1,FALSE,296.9899804,30,FALSE
47522,578,2122,553,1,FALSE,72.05458658,30,FALSE
31585,3427,1013,554,1,FALSE,4.844439752,30,FALSE
31865,427,351,555,2,FALSE,27.31098254,30,FALSE
38297,439,2301,556,1,FALSE,265.9133455,30,FALSE
39544,2404,359,557,2,FALSE,262.685138,30,FALSE
45687,3971,735,558,1,FALSE,4.809027125,30,FALSE
52758,2404,359,559,1,FALSE,14.96499935,30,FALSE
53571,2313,482,560,2,FALSE,24.2891448,30,FALSE
45050,2181,3568,561,1,FALSE,65.43320015,30,FALSE
45109,2439,2311,562,1,FALSE,19.80759182,30,FALSE
35702,571,3474,563,1,TRUE,82.72370796,30,TRUE
52211,3119,1587,564,1,FALSE,66.29418821,30,FALSE
40600,3683,1736,565,1,FALSE,1.575199738,30,FALSE
28036,3119,1587,566,2,FALSE,366.8357213,30,FALSE
45239,3441,2170,567,1,FALSE,307.5816623,30,FALSE
47440,747,3414,568,1,FALSE,485.8258776,30,FALSE
35951,1587,1810,569,1,FALSE,28.90982912,30,FALSE
51670,1390,4023,570,1,FALSE,375.2066237,30,FALSE
51341,1587,1965,571,1,FALSE,55.73132325,30,FALSE
55409,578,2122,572,1,FALSE,122.8186165,30,FALSE
54232,3475,519,573,1,FALSE,186.030414,30,FALSE
54181,1135,3474,574,1,FALSE,52.41161003,30,FALSE
40234,571,425,575,1,FALSE,146.0752178,30,FALSE
58234,2122,1037,576,1,FALSE,43.74941177,30,FALSE
51117,3572,3803,577,1,FALSE,2.167882184,30,FALSE
46035,1305,3196,578,1,FALSE,7.660358479,30,FALSE
53399,3350,3417,579,1,FALSE,4.256368108,30,FALSE
42085,3661,793,580,2,FALSE,73.44000935,30,FALSE
48657,359,2404,581,1,FALSE,19.95967615,30,FALSE
56983,3450,240,582,2,FALSE,1.542365262,30,FALSE
63046,137,1271,583,1,FALSE,10.19742346,30,FALSE
64507,1013,3427,584,1,TRUE,70.69044827,30,TRUE
48426,3350,3417,585,3,FALSE,117.5097445,30,FALSE
49620,3571,3802,586,1,FALSE,34.92026564,30,FALSE
58985,1235,54,587,1,FALSE,6.817340561,30,FALSE
40463,1736,2238,588,1,TRUE,229.7215097,30,TRUE
61179,1206,2380,589,1,FALSE,48.03111183,30,FALSE
48386,1587,2229,590,1,FALSE,37.10963682,30,FALSE
31794,129,2734,591,1,FALSE,82.63164847,30,FALSE
29889,2513,2834,592,1,FALSE,92.63657179,30,FALSE
60920,129,2734,593,1,FALSE,76.13556936,30,FALSE
